Category,Subtype,Name,Latitude,Longitude
Religious,place_of_worship,Unnamed,24.565843,46.853725
Religious,place_of_worship,Unnamed,24.581737,46.853505
Religious,place_of_worship,Unnamed,24.555019,46.86484
Religious,place_of_worship,Unnamed,24.556971,46.8622
Religious,place_of_worship,Unnamed,24.553184,46.868133
Religious,place_of_worship,Unnamed,24.564816,46.87235
Religious,place_of_worship,Unnamed,24.566602,46.870376
Religious,place_of_worship,Unnamed,24.479824,46.804591
Religious,place_of_worship,Unnamed,24.537484,46.666019
Religious,place_of_worship,Unnamed,24.530899,46.660632
Religious,place_of_worship,Unnamed,24.564281,46.543751
Religious,place_of_worship,Unnamed,24.481577,46.612625
Religious,place_of_worship,Unnamed,24.525161,46.715252
Religious,place_of_worship,Unnamed,24.52684,46.709952
Religious,place_of_worship,Unnamed,24.530432,46.713771
Religious,place_of_worship,Unnamed,24.529105,46.707806
Religious,place_of_worship,Unnamed,24.521999,46.723427
Religious,place_of_worship,Unnamed,24.530432,46.721582
Religious,place_of_worship,Unnamed,24.530979,46.73186
Religious,place_of_worship,Unnamed,24.533575,46.720895
Religious,place_of_worship,Unnamed,24.534863,46.723299
Religious,place_of_worship,Unnamed,24.533321,46.711154
Religious,place_of_worship,Unnamed,24.534824,46.717097
Religious,place_of_worship,Unnamed,24.531037,46.717848
Religious,place_of_worship,Unnamed,24.526684,46.704351
Religious,place_of_worship,Unnamed,24.52846,46.701626
Religious,place_of_worship,Unnamed,24.524659,46.707195
Religious,place_of_worship,Unnamed,24.527136,46.697262
Religious,place_of_worship,Unnamed,24.534792,46.703349
Religious,place_of_worship,Unnamed,24.537428,46.716698
Religious,place_of_worship,Unnamed,24.54238,46.709705
Religious,place_of_worship,Unnamed,24.539232,46.709813
Religious,place_of_worship,Unnamed,24.540144,46.716335
Religious,place_of_worship,Unnamed,24.541661,46.73088
Religious,place_of_worship,Unnamed,24.542787,46.734312
Religious,place_of_worship,Unnamed,24.637566,46.645479
Religious,place_of_worship,Unnamed,24.752309,46.532232
Religious,place_of_worship,Unnamed,24.754417,46.535347
Religious,place_of_worship,Unnamed,24.756217,46.541017
Religious,place_of_worship,The Late Prince Ahmad Bin Salman Mosque,24.707551,46.608517
Religious,place_of_worship,Unnamed,24.574225,46.678438
Religious,place_of_worship,Unnamed,24.571602,46.66779
Religious,place_of_worship,Unnamed,24.573177,46.665511
Religious,place_of_worship,Unnamed,24.579324,46.669319
Religious,place_of_worship,Unnamed,24.578949,46.662688
Religious,place_of_worship,Unnamed,24.580849,46.672135
Religious,place_of_worship,Unnamed,24.57548,46.683128
Religious,place_of_worship,Unnamed,24.567819,46.66482
Religious,place_of_worship,Unnamed,24.587686,46.585862
Religious,place_of_worship,Unnamed,24.630297,46.780752
Religious,place_of_worship,Unnamed,24.627586,46.787218
Religious,place_of_worship,Unnamed,24.630778,46.775692
Religious,place_of_worship,Unnamed,24.680389,46.784465
Religious,place_of_worship,Unnamed,24.761006,46.776662
Religious,place_of_worship,Unnamed,24.765585,46.763122
Religious,place_of_worship,Unnamed,24.76345,46.752155
Religious,place_of_worship,Unnamed,24.758225,46.746377
Religious,place_of_worship,Unnamed,24.758449,46.749789
Religious,place_of_worship,Unnamed,24.760116,46.753732
Religious,place_of_worship,Unnamed,24.793999,46.749873
Religious,place_of_worship,Unnamed,24.805863,46.764611
Religious,place_of_worship,Unnamed,24.804123,46.754578
Religious,place_of_worship,Unnamed,24.801597,46.754552
Religious,place_of_worship,Unnamed,24.80218,46.786969
Religious,place_of_worship,Unnamed,24.805418,46.783866
Religious,place_of_worship,Unnamed,24.799484,46.790394
Religious,place_of_worship,Unnamed,24.799201,46.769784
Religious,place_of_worship,Unnamed,24.794578,46.770854
Religious,place_of_worship,Unnamed,24.794526,46.785051
Religious,place_of_worship,Unnamed,24.788562,46.765797
Religious,place_of_worship,Unnamed,24.781923,46.761838
Religious,place_of_worship,Unnamed,24.787056,46.760063
Religious,place_of_worship,Unnamed,24.783081,46.767652
Religious,place_of_worship,Unnamed,24.780968,46.764923
Religious,place_of_worship,Unnamed,24.777089,46.763996
Religious,place_of_worship,Unnamed,24.779364,46.767251
Religious,place_of_worship,Unnamed,24.780571,46.769891
Religious,place_of_worship,Unnamed,24.788255,46.772534
Religious,place_of_worship,Unnamed,24.784365,46.772993
Religious,place_of_worship,Unnamed,24.78639,46.775634
Religious,place_of_worship,Unnamed,24.789959,46.775194
Religious,place_of_worship,Unnamed,24.784356,46.778853
Religious,place_of_worship,Unnamed,24.781478,46.775791
Religious,place_of_worship,Unnamed,24.781905,46.77314
Religious,place_of_worship,Unnamed,24.780013,46.778315
Religious,place_of_worship,Unnamed,24.777944,46.776769
Religious,place_of_worship,Unnamed,24.779454,46.783029
Religious,place_of_worship,Unnamed,24.792582,46.771167
