site_id,latitude,longitude
RUHSM001,24.7403322023658,46.6273981332779
RUHSM002,24.740427194217,46.6274785995483
RUHSM003,24.7546965432207,46.6325774788857
RUHSM007,24.6726265911391,46.656776368618
RUHSM009,24.7209740445557,46.6058734059334
RUHSM012,24.6483701639916,46.7946767807007
RUHSM015,24.5439855825558,46.872533261776
RUHSM018,24.8287062928303,46.6193702816963
RUHSM019,24.8178075375809,46.6184422373772
RUHSM022,24.670488879256,46.6602820158005
RUHSM023,24.780546768419,46.7285308241844
RUHSM024,24.6799116099266,46.6544723510742
RUHSM025,24.7649189230075,46.6561299562454
RUHSM026,24.7731896590511,46.7319613695145
RUHSM027,24.6750541016666,46.6531071066856
RUHSM029,24.9694129976553,46.7820569872856
RUHSM030,25.0012034832327,46.7709928750992
RUHSM032,24.7120199687664,46.6719147562981
RUHSM033,24.7897540511277,46.7158091068268
RUHSM034,24.6755122958506,46.6905936598778
RUHSM035,24.6203516108267,46.5742367506027
RUHSM038,24.6846274081011,46.7023712396622
RUHSM042,24.740704875449,46.5987414121628
RUHSM044,24.8400178982926,46.6072306036949
RUHSM045,24.6261962301252,46.7836314439774
RUHSM046,24.5856708282881,46.6952633857727
RUHSM049,24.8066959557292,46.7554226517677
RUHSM051,24.5581848394885,46.6767024993897
RUHSM052,24.7243240497979,46.6658690571785
RUHSM053,24.6729043824091,46.6916853189468
RUHSM054,24.6123632798959,46.7067539691925
RUHSM055,24.6110781730948,46.707022190094
RUHSM057,24.6656945509571,46.6192603111267
RUHSM059,24.831956030886,46.8484577536583
RUHSM060,24.8321897210297,46.7234346270561
RUHSM062,24.7980377711983,46.569601893425
RUHSM069,24.56560566558,46.6250592470169
RUHSM070,24.6942463632656,46.5634649991989
RUHSM071,24.6711544395348,46.6223931312561
RUHSM072,24.6707963331305,46.6222590208054
RUHSM073,24.6870447823229,46.6315904259682
RUHSM074,24.6869545710959,46.6317647695541
RUHSM077,24.8111586340332,46.7348715662956
RUHSM078,24.8110612436613,46.7346113920212
RUHSM079,24.5588531422709,46.6225674748421
RUHSM080,24.5589824415937,46.622556746006
RUHSM093,24.8325232108086,46.8203857541084
RUHSM095,24.7800816178938,46.8530228734016
RUHSM096,24.5348626583046,46.6983264684677
RUHSM097,24.598323749187,46.7443531751633
RUHSM098,24.8195992645787,46.8459257483482
RUHSM100,24.5686573528817,46.8897798657417
RUHSM102,24.7352066774981,46.6819301247597
RUHSM106,24.7087793016666,46.7659583687782
RUHSM110,24.8409306555311,46.5533074736595
RUHSM111,24.8410231157739,46.5536212921143
RUHSM112,24.5972800762424,46.6084000468254
RUHSM113,24.5971435038554,46.6084751486778
RUHSM114,24.5475208005664,46.7195722460747
RUHSM116,24.9070265631544,46.9199708104134
RUHSM117,24.5381879590055,46.6897889971733
RUHSM118,24.5382806827733,46.6898936033249
RUHSM121,24.6462394879027,46.6858944296837
RUHSM122,24.7958463762615,46.7296761274338
RUHSM125,24.771906272745,46.732605099678
RUHSM128,24.6981526522312,46.6789072751999
RUHSM129,24.6876372637067,46.7106726765633
RUHSM130,24.6636397195435,46.7306765913963
RUHSM131,24.6634934669944,46.7308187484741
