latitude,longitude,name,category
24.669543,46.7064243,Aldrees,gas stations
24.7959269,46.7785431,Aldrees,gas stations
24.7149167,46.6599736,SASCO,gas stations
24.781505,46.7066182,Aldrees,gas stations
24.7084485,46.6870509,Aldrees,gas stations
24.7102526,46.6668744,R001-Liter Gas Station %7C %D9%85%D8%AD%D8%B7%D8%A,gas stations
24.7248097,46.6532726,Aldrees,gas stations
24.6671073,46.7010741,Aldrees,gas stations
24.6882888,46.6875219,SASCO,gas stations
24.7796184,46.7638075,Aldrees,gas stations
24.8466487,46.7337531,SASCO,gas stations
24.6755123,46.6672182,Mosam Petrol Station,gas stations
24.6945261,46.7025499,%D8%B1%D9%88%D8%A7%D8%AF %D8%A7%D9%84%D8%A8%D8%AA%,gas stations
24.7356772,46.6763179,Sahel,gas stations
24.7577046,46.6626031,Aldrees,gas stations
24.6968023,46.7348642,Aldrees,gas stations
24.7316833,46.6882568,SASCO Xpress,gas stations
24.7233136,46.787069,Aldrees,gas stations
24.7496096,46.6608977,THE VILLAGE COMPOUND,residential compounds
24.6716008,46.7207013,"Russell compound, Mousab Ibn Oumaid",residential compounds
24.8186218,46.6621166,Emerald Village Residential Compound,residential compounds
24.6393002,46.6763585,SFH Housing OASIS Compound,residential compounds
24.7674211,46.6288307,Alshulah Compound,residential compounds
24.7073529,46.6973437,Sulimaniyah Compound 2,residential compounds
24.7444428,46.5876985,Al-Murjana compound,residential compounds
24.838789,46.646279,Al Yasmine compound,residential compounds
24.8107631,46.717451,Fal Compound,residential compounds
24.7239487,46.6584415,Green City Compound.,residential compounds
24.8654277,46.5830618,Tujan Residential Compound,residential compounds
24.7015444,46.614291,Star Compound,residential compounds
24.8063522,46.7232735,Cordoba Oasis Village Compound,residential compounds
24.6437041,46.6352034,B-2 Housing Compound,residential compounds
24.716328,46.6570213,Rahmaniyah Compound,residential compounds
24.7133577,46.6132649,Rio Compound,residential compounds
24.8541145,46.6222173,Riviera Compound,residential compounds
24.7492433,46.6770199,"Summerland Compound, king Fahd",residential compounds
24.7915822,46.6152396,Florentina Compound,residential compounds
24.8309754,46.6281893,riyadh homes BY RAFA,residential compounds
24.7387971,46.6352857,Crowne Plaza Riyadh Rdc Hotel %26 Convention by IH,hotels
24.7286813,46.6678214,Le M%C3%A9ridien Riyadh,hotels
24.6659992,46.6306265,"The Ritz-Carlton, Riyadh",hotels
24.786488,46.6338731,%D9%81%D9%86%D8%AF%D9%82 %D9%87%D8%AF%D8%A8 %D8%A7,hotels
24.7068776,46.6755136,Novotel Riyadh Al Anoud,hotels
24.92445,46.712979,Riyadh Airport Marriott Hotel,hotels
24.6662634,46.6234218,Courtyard by Marriott Riyadh Diplomatic Quarter,hotels
24.6983583,46.6823957,Hyatt Regency Riyadh Olaya,hotels
24.6307565,46.7172686,Gloria Inn Hotel,hotels
24.6795558,46.7019789,Warwick Riyadh Al Dabab,hotels
24.7072896,46.7084972,Hyatt Place Riyadh Al Sulaimania,hotels
24.5591938,46.8929492,Cristal Amaken Hotel,hotels
24.7833831,46.6353892,Grand Plaza Hotel - KAFD Riyadh,hotels
24.7836736,46.6528016,"Mansard Riyadh, A Radisson Collection Hotel",hotels
24.6956749,46.6836215,Narcissus Hotel Riyadh,hotels
24.666677,46.692159,InterContinental Riyadh by IHG,hotels
24.6930483,46.6840464,Centro Olaya,hotels
24.7640327,46.6532401,M%C3%B6venpick Hotel and Residences Riyadh,hotels
24.6666516,46.696747,voco Riyadh by IHG,hotels
24.7113676,46.6743073,Four Seasons Hotel Riyadh At Kingdom Center,hotels
24.6461785,46.7006654,Saleh Al-Rajhi mosquee,mosques
24.6697233,46.7004095,Masjid Al-Sultan,mosques
24.6968952,46.686592,AlRawi Grand Mosque,mosques
24.7472941,46.7040295,Abu Bakr Siddiq Mosque,mosques
24.7007409,46.6522065,King Khalid Grand Mosque,mosques
24.7730061,46.6908484,Al Qhadi Grand Mosque,mosques
24.6474608,46.7122743,Al Madi Mosque,mosques
24.6712784,46.6579485,King Fahad Grand Mosque,mosques
24.6827146,46.7222973,Iqraa Mosque,mosques
24.6910539,46.6892928,King Khalid Mosque,mosques
24.6935372,46.7084813,Al Eiman Mosque,mosques
24.845227,46.7580921,Al Noor Mosque in Riyadh,mosques
24.7351,46.6453152,Eid prayer Muhammadiyah Riyadh,mosques
24.7194141,46.6767753,Ali Bin Abi Talib Mosque,mosques
24.726951,46.7045088,Umm Abdulaziz Al Theyab Grand Masjid,mosques
24.8554831,46.728632,Grand Mosque,mosques
24.6699627,46.7088457,Inam Ul Rub Mosque,mosques
24.719421,46.6586582,Princess Latifa Bint Sultan Bin Abdulaziz Grand Mo,mosques
24.7060039,46.7040859,Ahmad Jawad Alamdar Grand Masjid,mosques
24.958858,46.7013939,Grand Mosque - King Khalid International Airport,mosques
