lat,lon,name,name_ar,category,subcategory,address
24.6451905,46.7169139,طفيل الحنفي,,place,,
24.645581,46.7191343,عبدالحكيم الجمحي,,place,,
24.6462642,46.7186528,البدائع,,place,,
24.6471052,46.717885,أبي العباس المرشدي,,place,,
24.6457955,46.7202669,ابن سلامة,,place,,
24.648535,46.7223041,الحسين بن شعبان,,place,,
24.6449618,46.7216349,أبي الفتوح بن صورة,,place,,
24.6448629,46.7215104,عبدالرزاق الحنبلي,,place,,
24.6450862,46.723102,القارية,,place,,
24.6443128,46.7223486,البلدة,,place,,
24.643341,46.718789,عبدالقادر الخزرجي,,place,,
24.6424181,46.7182019,أسد بن الفرات,,place,,
24.6433732,46.7201131,البشائر,,place,,
24.64536,46.7202092,المحسنية,,place,,
24.643711,46.7203507,شيبان بن محرز,,place,,
24.6431653,46.7192455,تميم بن أبي بكر,,place,,
24.6445373,46.7185494,البليدة,,place,,
24.6434399,46.7194377,عبدالصمد التنوخي,,place,,
24.6442026,46.7205265,ابن طلحة,,place,,
24.6418953,46.7186381,نهر الفضل,,place,,
24.6413432,46.718204,وادي سلم,,place,,
24.6428984,46.7228132,سليمان بن مهران,,place,,
24.6427174,46.7234166,علي بن منصور,,place,,
24.6438722,46.7233431,البدور,,place,,
24.642144,46.7212499,عبدالصمد التنوخي,,place,,
24.6422478,46.7216313,شيبان بن محرز,,place,,
24.6430868,46.722759,البئر,,place,,
24.6424118,46.7219584,ابن طلحة,,place,,
24.6413842,46.7194813,وادي سلم,,place,,
24.6419631,46.7199969,نهر الفضل,,place,,
24.6420482,46.7208853,ثابت بن النعمان,,place,,
24.6417394,46.7198768,البرهان البصري,,place,,
24.6417441,46.7204382,البلقاء,,place,,
24.6445056,46.7253507,جبل الرحا,,place,,
24.6443594,46.7260409,المظفاة,,place,,
24.6436867,46.7258365,الدحمة,,place,,
24.6450038,46.7292463,البراق,,place,,
24.6449497,46.7259745,القرينة,,place,,
24.6458996,46.7261553,القنادي,,place,,
24.6452699,46.7251317,زيد بن سهل,,place,,
24.6454694,46.7248498,أحمد تيمور,,place,,
24.6457401,46.7270239,شهيلا,,place,,
24.6438474,46.7251694,عاصم بن الوليد,,place,,
