Name,Subtype,Latitude,Longitude
اسواق العثيمين,supermarket,24.566812,46.550478
اسواق النهدي,supermarket,24.572295,46.780832
طريق التوفير,clothes,24.596536,46.740055
اسواق العثيم,supermarket,24.601229,46.748106
الشامل للاواني المنزلية,supermarket,24.597372,46.741448
الشامل للملابس,clothes,24.597935,46.742166
الهرم بلازا,clothes,24.598605,46.743435
سنتربوينت,clothes,24.597221,46.744517
مدينة الاحذية,shoes,24.598856,46.744295
سيتي ماكس,clothes,24.601432,46.748607
Lulu Hypermarket,supermarket,24.753293,46.822811
Unnamed,supermarket,24.646417,46.707088
بندة السويدي,supermarket,24.598582,46.684605
بندتي,supermarket,24.80292,46.793144
أسواق فجر المجد,supermarket,24.803695,46.794181
Unnamed,shoes,24.803862,46.793732
نيكاي,electronics,24.651833,46.706428
العمل,convenience,24.693049,46.794594
اسواق الرجبه,supermarket,24.648508,46.554464
صيانة الكمبيوتر,hardware,24.585602,46.777962
Jeraisy Riyadh House,furniture,24.721185,46.668161
هايبر ماركت النهدي,supermarket,24.548616,46.649
بنده,supermarket,24.66581,46.711067
السالم للزجاج,convenience,24.630461,46.739327
SJ Supermarket Al Batha,supermarket,24.645727,46.718361
منتجات سورية فلسطينية أردنية,supermarket,24.676196,46.802005
شركة طوابق العقارية,convenience,24.796065,46.655497
Unnamed,hardware,24.730748,46.817087
T-Shoes,shoes,24.695755,46.649218
بنده,supermarket,24.605695,46.707546
مركز الهرم التجاري,clothes,24.605575,46.759205
بنده,supermarket,24.683828,46.814999
سوق.كوم,supermarket,24.654432,46.834077
Unnamed,supermarket,24.653133,46.706801
Unnamed,supermarket,24.645635,46.70733
للتبريد و التكييف,electronics,24.645718,46.707295
Unnamed,clothes,24.645939,46.707231
السدحان هايبر ماركت,supermarket,24.693589,46.771207
العربية للعود,supermarket,24.702491,46.778384
مكتبة جرير,books,24.691757,46.766139
Panda Super Market - Jarir,supermarket,24.677223,46.744321
SACO,convenience,24.753674,46.585282
مكتبة جرير,books,24.752026,46.584063
مؤسسة بريق المصاعد,convenience,24.8369,46.765448
مستودعات أسواق العثيم,houseware,24.664023,46.842235
Unnamed,electronics,24.52263,46.708533
أسواق التميمي,supermarket,24.80724,46.737201
Lulu Hypermarket,supermarket,24.663578,46.703297
Lulu Hypermarket,supermarket,24.663717,46.703376
الزهراني للمطابخ,furniture,24.730832,46.823356
أسواق العثيم,supermarket,24.727719,46.852086
مكتبة جرير,books,24.817965,46.686596
Unnamed,car_parts,24.536478,46.883596
Unnamed,car_parts,24.536594,46.88344
ميد,supermarket,24.644678,46.705448
اسواق اللحيدان,supermarket,24.579432,46.788524
العزيزية جاليرى,supermarket,24.59044,46.766957
العاب الحسين,convenience,24.732939,46.662669
مركز ورق الجدران,convenience,24.762329,46.763443
ابزون,electronics,24.762809,46.763062
الخزف السعودي,supermarket,24.75911,46.765222
الفارس,convenience,24.76218,46.762275
المنيع,electronics,24.762143,46.763013
سوبر ماركت جناين,supermarket,24.68992,46.852568
سكاي مول,clothes,24.6931,46.80848
الهزاز,clothes,24.692549,46.808003
مركز اسطنبول التجاري,clothes,24.693613,46.808534
Ten ten,clothes,24.637448,46.799106
السدحان,supermarket,24.701594,46.802761
اكسترا,electronics,24.605155,46.705416
الدانة هايبر ماركت,supermarket,24.578378,46.66387
ملحمة,supermarket,24.695875,46.774043
تموينات منيره,supermarket,24.800246,46.752409
مكتبة خالد الشامان 2,books,24.735108,46.771219
Poshak Riyadh,clothes,24.669122,46.709158
بن منقاش للعطارة,convenience,24.583215,46.661378
Unnamed,books,24.583081,46.657159
Unnamed,convenience,24.682079,46.688947
Unnamed,supermarket,24.686509,46.689129
روابي الكورنيش,supermarket,24.703524,46.831735
بالطيف,jewelry,24.644921,46.717291
Unnamed,clothes,24.562112,46.708093
المكان مول,clothes,24.790554,46.611766
الحمراء مول,clothes,24.773052,46.776595
