Name,Subtype,Latitude,Longitude
أبراج طويق للشقق المفروشة,hotel,24.63925,46.553191
Rand by Wandalus Hotel,hotel,24.706672,46.687249
Malaz restaurant,hotel,24.67826,46.727836
Hilton Garden Inn Riyadh Financial District,hotel,24.764962,46.654882
Unnamed,hotel,24.770904,46.768223
DoubleTree by Hilton Riyadh Financial District Hotel & Suites,hotel,24.764867,46.654737
Mövenpick Hotel and Residences Riyadh,hotel,24.763992,46.653144
كاتارا للشقق المخدومة 2,hotel,24.800904,46.730094
Art View Hotel,hotel,24.752951,46.72256
Centro Waha,hotel,24.756024,46.653323
waw hotel suites,hotel,24.747908,46.710548
فندق جلوريا إن,hotel,24.630827,46.71705
Grand Plaza Hotel,hotel,24.684767,46.718504
"Radisson Blu Hotel, Riyadh Convention & Exhibition Center",hotel,24.752308,46.725053
St.Regis,hotel,24.666419,46.626131
Sala Chalet,hotel,24.869556,46.83359
شقق فاخرة التخصصي,hotel,24.686132,46.675364
"Vivienda Hotel Villas, Diplomatic Quarters",hotel,24.683112,46.631209
فندق ميركيور العنود,hotel,24.664095,46.701478
فندق ارفاد,hotel,24.787683,46.660059
Courtyard Riyadh Olaya,hotel,24.702219,46.678603
فندق دايموند Diamond Hotel,hotel,24.805325,46.657053
سويت هوم اجنحه فندقيه,hotel,24.629423,46.566088
"executives hotel, Azizia",hotel,24.596077,46.745477
Carawan Al Fahad Hotel,hotel,24.710709,46.670625
Riyadh Marriott,hotel,24.685896,46.712538
White Palace Hotel,hotel,24.687374,46.718812
Crowne Plaza - Minhal,hotel,24.689596,46.717311
فندق وأبراج شيراتون الرياض,hotel,24.727338,46.665354
Radisson Blu (SAS),hotel,24.670729,46.719244
فندق السفينة الذهبية,hotel,24.786327,46.731062
Al Khozama Hotel,hotel,24.691801,46.685478
ريتز كارلتون,hotel,24.665826,46.630819
فيرمونت الرياض,hotel,24.808511,46.717682
Unnamed,hotel,24.727148,46.690767
Dir'iyah Palace,hotel,24.663204,46.627829
Hilton Riyadh Hotel & Residences,hotel,24.785197,46.728186
Compound,hotel,24.787779,46.713359
Compund,hotel,24.786554,46.710462
Hilton Garden Inn,hotel,24.677069,46.694108
قصر التوت,hotel,24.647387,46.714386
Unnamed,chalet,24.852758,46.806718
Unnamed,chalet,24.854247,46.803977
Unnamed,chalet,24.854283,46.807997
Unnamed,chalet,24.858992,46.801054
منتجع سدرة السكني,chalet,24.887686,46.801989
منتجع فزه,chalet,24.890635,46.800166
Unnamed,chalet,24.896538,46.797922
Unnamed,chalet,24.897962,46.810413
Unnamed,chalet,24.898009,46.812971
Unnamed,chalet,24.900969,46.80609
Unnamed,chalet,24.904385,46.795511
Unnamed,chalet,24.903159,46.796809
Unnamed,chalet,24.904022,46.807749
Unnamed,chalet,24.897105,46.806175
Unnamed,chalet,24.895831,46.80492
Unnamed,chalet,24.891957,46.804834
Unnamed,chalet,24.889544,46.804148
Unnamed,chalet,24.889693,46.806601
Unnamed,chalet,24.900755,46.800714
Unnamed,chalet,24.90818,46.807538
Unnamed,chalet,24.90672,46.811604
Unnamed,chalet,24.907119,46.813621
Unnamed,chalet,24.905864,46.813889
Unnamed,chalet,24.907615,46.817398
Unnamed,chalet,24.907975,46.822934
Unnamed,chalet,24.911848,46.820359
Unnamed,chalet,24.914232,46.818492
Unnamed,chalet,24.914585,46.829875
Unnamed,chalet,24.91177,46.813235
Unnamed,chalet,24.911547,46.79565
Unnamed,chalet,24.913035,46.799084
Unnamed,chalet,24.912023,46.802206
Unnamed,chalet,24.905562,46.800983
Unnamed,chalet,24.908647,46.830208
Unnamed,chalet,24.915338,46.83257
Unnamed,chalet,24.917538,46.79393
Unnamed,chalet,24.919632,46.801283
Unnamed,chalet,24.922649,46.809169
Unnamed,chalet,24.904375,46.818074
Unnamed,chalet,24.926881,46.805199
Unnamed,hotel,24.801277,46.781379
Unnamed,hotel,24.801751,46.781152
Unnamed,hotel,24.799418,46.777152
برج رافال كمبينسي,hotel,24.792493,46.632658
DoubleTree by Hilton Hotel Riyadh - Al Muroj Business Gate,hotel,24.764522,46.657383
Unnamed,hotel,25.001469,46.510862
InterContinental,hotel,25.001679,46.509614
Radisson Hotel Riyadh Airport,hotel,24.913196,46.688974
Marriott Riyadh Diplomatic Quarter,hotel,24.674301,46.623711
فندق راديسون بلو,hotel,24.684233,46.625198
كراون بلازا,hotel,24.738782,46.635804
هوليدي ان العليا,hotel,24.680331,46.690487
Unnamed,chalet,24.913502,46.832161
Unnamed,hotel,24.924373,46.712863
Hilton Riyadh Olaya,hotel,24.710227,46.672186
Hyatt Regency Riyadh Olaya,hotel,24.698199,46.682116
iris boutique hotel,hotel,24.78774,46.731048
Super 8 by Wyndham Al Riyadh,hotel,24.835154,46.735313
Unnamed,hotel,24.704251,46.678426
Unnamed,hotel,24.708693,46.678032
شارع انس بن مالك الفرعي,chalet,24.820895,46.646029
Unnamed,chalet,24.823752,46.646154
Unnamed,chalet,24.846618,46.668018
Unnamed,chalet,24.84676,46.66796
The compound,chalet,24.846495,46.669055
Unnamed,chalet,24.856227,46.659442
Unnamed,chalet,24.854268,46.660291
Unnamed,chalet,24.850532,46.666167
Unnamed,chalet,24.850226,46.666157
Unnamed,chalet,24.850104,46.666557
Unnamed,chalet,24.849606,46.666822
Unnamed,chalet,24.849743,46.666432
Unnamed,chalet,24.849798,46.666723
Unnamed,chalet,24.850628,46.668076
Unnamed,chalet,24.850723,46.668302
شالبهات كومو,chalet,24.854568,46.677417
Unnamed,chalet,24.854181,46.677575
Unnamed,chalet,24.854067,46.677301
Unnamed,chalet,24.854686,46.676208
Unnamed,chalet,24.849371,46.66515
Unnamed,chalet,24.849285,46.664928
Unnamed,chalet,24.850824,46.661986
Unnamed,chalet,24.849136,46.662847
Unnamed,chalet,24.84905,46.662886
Unnamed,chalet,24.848962,46.662925
Unnamed,chalet,24.848747,46.663044
Unnamed,chalet,24.848866,46.662982
Unnamed,chalet,24.850642,46.669612
Unnamed,chalet,24.858295,46.676443
Unnamed,chalet,24.857388,46.676552
Unnamed,chalet,24.855731,46.676631
Unnamed,chalet,24.682907,46.745546
Hyatt Place Riyadh Al Sulaimania,hotel,24.707402,46.708453
Unnamed,hotel,24.710966,46.703248
Unnamed,hotel,24.71522,46.674917
Unnamed,hotel,24.711296,46.702598
Unnamed,hotel,24.701377,46.693875
فندق لو مريديان,hotel,24.728872,46.668367
Unnamed,hotel,24.750986,46.665172
Unnamed,chalet,24.776816,46.690614
Unnamed,hotel,24.726778,46.651826
