lat,lon,external_id,title,price,rooms,baths,area,purpose,rent_frequency,location
24.683304985649,46.675592786036,87828554,New Studio with Hotel Level Finishing at La Cordia Suite,70000.0,0,1,2321.0,for-rent,yearly,KSA > Riyadh > North Riyadh > Al Mathar Al Shamali
24.683304985649,46.675592786036,87829233,New Studio with Hotel Level Finishing at La Cordia Suites,70000.0,0,1,2321.0,for-rent,yearly,KSA > Riyadh > North Riyadh > Al Mathar Al Shamali
24.683584836622,46.672075882898,87832976,Luxury Unit in Al Mathar - Full Amenities Building,135000.0,3,4,111.0,for-rent,yearly,KSA > Riyadh > North Riyadh > Al Mathar Al Shamali
24.662148649399,46.720799804809,87779845,Furnished apartment for rent in Al Malaz neighborhood – one room and a hall – includes electricity and water,60000.0,1,1,120.0,for-rent,yearly,KSA > Riyadh > Central Riyadh > Al Malaz
24.716982008768,46.7630948858,87829465,"2 Bedroom Apartment For Rent in Al Rawdah, Riyadh",29000.0,2,1,50.0,for-rent,yearly,KSA > Riyadh > East Riyadh > Al Rawdah
24.786507551857,46.816717083843,87830051,"Apartment for rent in Al Khaleej, East Riyadh",18000.0,1,1,40.0,for-rent,yearly,KSA > Riyadh > East Riyadh > Al Khaleej
24.766884780492,46.626460008443,87837805,3 Bedrooms with Rooftop in Al Aqiq - SATEL 115,138000.0,3,3,186.0,for-rent,yearly,KSA > Riyadh > North Riyadh > Al Aqiq
24.683598566732,46.67245948792,87783648,Luxury Unit in Al Mathar - Full Amenities Building,160000.0,3,4,122.0,for-rent,yearly,KSA > Riyadh > North Riyadh > Al Mathar Al Shamali
24.714590417581,46.679549815248,87818779,3 Bedrooms in Al Olaya - SATEL 102,125000.0,3,3,120.0,for-rent,yearly,KSA > Riyadh > North Riyadh > Al Olaya
24.81982010584,46.677550993537,87819070,Satel at Opal Thoumamah Road - Unurnished 2-Bedroom with a Backyard Apartment,125000.0,2,4,113.0,for-rent,yearly,KSA > Riyadh > North Riyadh > Al Narjis
24.68359292135,46.672425425961,87819140,Luxury Unit in Al Mathar - Full Amenities Building,150000.0,3,3,111.0,for-rent,yearly,KSA > Riyadh > North Riyadh > Al Mathar Al Shamali
24.819961616288,46.67755671546,87819473,Satel at Opal on Thoumamah Road - Furnished 3-Bedroom Apartment,150000.0,3,3,130.0,for-rent,yearly,KSA > Riyadh > North Riyadh > Al Narjis
24.81982010584,46.677550993537,87819517,Satel at Opal on Thoumamah Road - Furnished 2-Bedroom Apartment,130000.0,2,4,113.0,for-rent,yearly,KSA > Riyadh > North Riyadh > Al Narjis
24.819986809237,46.677430146114,87819533,Satel at Opal - Unurnished 3-Bedroom with Rooftop Apartment,125000.0,3,3,147.0,for-rent,yearly,KSA > Riyadh > North Riyadh > Al Narjis
24.819961616288,46.67755671546,87819545,Satel at Opal on Thoumamah Road - Unurnished 3-Bedroom with Rooftop Apartment,155000.0,3,3,130.0,for-rent,yearly,KSA > Riyadh > North Riyadh > Al Narjis
24.812799971893,46.648890623452,87819563,3-Bedroom Duplex for Rent in Al Yasmin,130000.0,3,4,108.0,for-rent,yearly,KSA > Riyadh > North Riyadh > Al Yasmin
