EJARID,BORDERNAME,BORDERTYPE,DIMENSIONS,TOP_IMAGE_URL,LANDUSESTATUS,ISACTIVE,DEEDDATEHIJRI,OBJECTID,SUBTYPE,DETAILSLANDUSE,MAINLANDUSE,DATASOURCE,DESCRIPTION,CREATED_DATE,CREATED_USER,LAST_EDITED_DATE,LAST_EDITED_USER,REGION_ID,SECTOR_ID,AMANA_ID,GOVERNORATE_ID,MUNICIPALITY_ID,CITY_ID,DISTRICT_ID,SUBDISTRICTNAME_ID,SUBDIVISIONPLAN_ID,BLOCK_ID,PARCEL_ID,PARCELIDOLD,PARCELSTATUS,MEASUREDAREA,SUBDIVISIONPLANPARTNUMBER,STREET_ID,DEEDNUMBER,SUBDIVISIONPLANNAME_AR,SUBDIVISIONPLANNAME_EN,OWNERSHIPTYPE,SUBDIVISIONPARCELNUMBER,ASBUILTREMARKS,ISLICENSED,ISBUILT,DATEOFLICENSEHIJRI,LICENSENUMBER,NOOFFLOORS,MAINLANDUSEDESCRIPTION,SUBTYPEDESCRIPTION,DETAILSLANDUSEDESCRIPTION,SUBDIVISIONPARCEL_UNIFIED_ID,ISCOMMERCIAL,BUILDINGCONDITION,SUBMUNICIPALITY_ID,LANDUSEDESCRIPTION,GLOBALID,POSTALCODE,AREATYPE,STREETNAME,MUNICIPALITYUNIQUECODE,HEIGHTCONDITION,DATAOWNER,AMANATRACKING,AMANABALADI,MUNICIPALITYBALADI,DISTRICTBALADI,DATEOFLICENSE,BUILDINGCONDITION_ID,PARCELDVELOPED,PARCELINVESTED,PARCELPROPERTY,UNITSNUMBER,PARCELNAME,BLOCKED,UNBLOCKREASON,BLOCKREASON,WATERSERVICE,ELECTRICITYSERVICE,TELECOMESERVICE,WASTEWATERSERVICE,OWNERNAME,BLOCKHDATE,UNBLOCKHDATE,RESIDENTIALUNITS,COMMERCIALUNITS,BUILDINGSTATUS,BUILDINGMATERIAL,RE_PARCELID,IN_PARCELID,FRONTDEFECTION,SIDEDEFECTION,CONSTRUCTIONPERCENTAGE,REARDEFECTION,SHAPE.AREA,SHAPE.LEN
,,,,,,1,,32449109,101000,101011,100000,AMANA / Parcel,,1657695512000,SDE,1657695512000,SDE,001,,001001,00100,00100100,00100001,00100001063,,1324/ب,0,14404797,,2,625.12303026,,001000010006991,,,,,23,,,,0,0,2,,,,001000010000249,,,001022008,,{852232A6-7F5A-47EA-BDC5-CC454FCC008F},,,,,,أمانة منطقة الرياض FME,HADY_BRAKAT 2019-08-28T10:04:25 \\ FACADES_SINGE 2023-04-08T06:03:55,004001,004001017,10014250,,193,,,,2,,1,,,,,,,,,,2,0,,,113756185908,1137561859080001,,,,,5.5778047356000003e-08,0.000946228515226652
,,,,,,1,,32449143,101000,101011,100000,AMANA / Parcel,,1657695512000,SDE,1657695512000,SDE,001,,001001,00100,00100100,00100001,00100001063,,1324/ب,0,14404800,,2,962.63178513,,001000010006991,,,,,45/2,,,,1417,165,2,,,,001000010000204,,,001022008,,{93487C98-6F0D-4726-992C-3B5927779734},,,,,,أمانة منطقة الرياض FME,HADY_BRAKAT 2019-08-28T10:04:25 \\ FACADES_SINGE 2023-04-08T06:03:59,004001,004001017,10014250,,193,,,,3,,1,,,,,,,,,,3,0,,,113755905896,1137559058960001,,,,,8.5897953653e-08,0.00120934257230909
,,,,,,1,,32449144,101000,101011,100000,AMANA / Parcel,,1657695512000,SDE,1657695512000,SDE,001,,001001,00100,00100100,00100001,00100001063,,1324/ب,0,14404802,,2,382.53635952,,001000010006991,,,,,44/1/1,,,,1422,98,2,,,,001000010000205,,,001022008,,{9AF9A4B8-1C7D-41CB-978E-552E3AE8B5C6},,,,,,أمانة منطقة الرياض FME,HADY_BRAKAT 2019-08-28T10:04:25 \\ FACADES_SINGE 2023-04-08T06:03:59,004001,004001017,10014250,,193,,,,2,,1,,,,,,,,,,2,0,,,113756105904,1137561059040001,,,,,3.4135922598000004e-08,0.000757273699257647
,,,,,,1,,32449182,101000,101011,100000,AMANA / Parcel,,1657695512000,SDE,1657695512000,SDE,001,,001001,00100,00100100,00100001,00100001063,,1324/ب,0,14404805,,2,379.94069296,,001000010006991,,,,,44/1/2,,,,1422,98,,,,,001000010000303,,,001022008,,{05A19CC3-2F9A-4D35-B536-131713E04BF0},,,,,,أمانة منطقة الرياض FME,HADY_BRAKAT 2019-08-28T10:16:17 \\ FACADES_SINGE 2023-04-08T06:04:03,004001,004001017,10014250,,193,,,,,,1,,,,,,,,,,,,,,113756025902,1137560259020001,,,,,3.3912946109999997e-08,0.0007553265022789761
,,,,,,1,,32449198,101000,101011,100000,AMANA / Parcel,,1657695512000,SDE,1657695512000,SDE,001,,001001,00100,00100100,00100001,00100001063,,1324/ب,3,14404067,,2,495.05129478,,001000010008170,,,,,23/3,,,,1417,62,2,,,,001000010000329,,,001022008,,{C28D78F8-C73E-4D03-9BFA-40C89E3E1403},,,,,,أمانة منطقة الرياض FME,MOHAMED_MOSTAFA 2019-08-21T08:12:03 \\ FACADES_SINGE 2023-04-08T06:04:14,004001,004001017,10014250,,193,,,,2,,1,,,,,,,,,,2,0,,,113762225964,1137622259640001,,,,,4.4175938259499996e-08,0.0008418636618733721
,,,,,,1,,32449207,101000,101011,100000,AMANA / Parcel,,1657695512000,SDE,1657695512000,SDE,001,,001001,00100,00100100,00100001,00100001063,,1324/ب,3,14404069,,2,450.02369013,,001000010006183,,,,,30,,,,0,0,2,,,,001000010000338,,,001022008,,{18C69DEF-F3D5-4142-ACA5-957B9D5DF472},,,,,,أمانة منطقة الرياض FME,MOHAMED_MOSTAFA 2019-08-21T08:12:05 \\ FACADES_SINGE 2023-04-08T06:04:17,004001,004001017,10014250,,193,,,,2,,1,,,,,,,,,,2,0,,,113762185948,1137621859480001,,,,,4.0159744306000004e-08,0.0008029028664522511
,,,,,,1,,32449216,101000,101011,100000,AMANA / Parcel,,1657695512000,SDE,1657695512000,SDE,001,,001001,00100,00100100,00100001,00100001063,,1324/ب,3,14404070,,2,540.04284852,,001000010006183,,,,,27/4,,,,1417,62,2,,,,001000010000317,,,001022008,,{4CB43030-0CDF-4834-8896-248B71A3659A},,,,,,أمانة منطقة الرياض FME,MOHAMED_MOSTAFA 2019-08-21T08:10:38 \\ FACADES_SINGE 2023-04-08T07:16:14,004001,004001017,10014250,,193,,,,1,,1,,,,,,,,,,1,0,,,113762465962,1137624659620001,,,,,4.81918551525e-08,0.0008808217361622891
,,,,,,1,,32449237,101000,101011,100000,AMANA / Parcel,,1657695512000,SDE,1657695512000,SDE,001,,001001,00100,00100100,00100001,00100001063,,1324/ب,3,14404078,,2,247.59774924,,001000010006183,,,,,28/5/2,,,,1418,495,,,,,001000010000378,,,001022008,,{0DFE8DEE-4BCE-4F3A-A708-5BC71CA8FE19},,,,,,أمانة منطقة الرياض FME,MOHAMED_MOSTAFA 2019-08-21T08:12:03 \\ FACADES_SINGE 2023-04-08T06:04:25,004001,004001017,10014250,,193,,,,,,1,,,,,,,,,,,,,,113762345956,1137623459560001,,,,,2.20878759695e-08,0.000627589011318319
,,,,,,1,,32449251,101000,101011,100000,AMANA / Parcel,,1657695512000,SDE,1657695512000,SDE,001,,001001,00100,00100100,00100001,00100001063,,1324/ب,3,14404107,,2,247.59774924,,001000010008170,,,,,22/2/2,,,,1418,466,,,,,001000010000392,,,001022008,,{46263387-D928-43D3-B90B-55CDDD91664A},,,,,,أمانة منطقة الرياض FME,MOHAMED_MOSTAFA 2019-08-21T08:25:17 \\ AMUZAYIL_GIS 2023-08-16T11:49:05,004001,004001017,10014250,,193,,,,,,1,,,,,,,,,,,,,,113762305966,1137623059660001,,,,,2.20881980335e-08,0.0006275930380314911
,,,,,,1,,32449325,101000,101011,100000,AMANA / Parcel,,1657695512000,SDE,1657695512000,SDE,001,,001001,00100,00100100,00100001,00100001063,,1324/ب,0,14418237,,2,749.823178,,001000010001564,,,,,104,,,,1417,907,,,,,001000010000446,,,001022008,,{2E0AD578-C315-40C2-810C-ABC2BE5AC35C},,,,,,أمانة منطقة الرياض FME,AYMAN_HELMY 2019-10-28T06:49:48 \\ FACADES_SINGE 2023-04-08T06:04:32,004001,004001017,10014250,,193,,,,,,1,,,,,,,,,,,,,,113757565710,1137575657100001,,,,,6.6912635388e-08,0.00104331704169589
