lat,lon,parcel_type
24.73573,46.64163,villa
24.736398,46.64112,villa
24.736469,46.640753,villa
24.7349,46.640747,villa
24.735233,46.642215,villa
24.736091,46.641772,villa
24.735117,46.641946,villa
24.735528,46.641161,villa
24.736276,46.641182,villa
24.736208,46.64089,villa
24.736215,46.642062,villa
24.734534,46.641971,villa
24.731757,46.647686,other
24.730488,46.644768,villa
24.732844,46.642191,other
24.72955,46.646737,villa
24.731077,46.647643,villa
24.729742,46.645178,villa
24.730924,46.646581,villa
24.736327,46.644779,villa
24.72926,46.644438,villa
24.73004,46.644816,villa
24.73184,46.642091,villa
24.733955,46.645168,villa
24.730873,46.647748,villa
24.733504,46.640788,villa
24.730985,46.643521,villa
24.729901,46.644175,villa
24.72851,46.645353,villa
24.728865,46.646766,villa
24.734059,46.646356,villa
24.7365,46.643859,villa
24.734176,46.646627,villa
24.733852,46.645787,villa
24.733158,46.646112,villa
24.732917,46.646235,villa
24.734147,46.642837,villa
24.73115,46.647815,villa
24.733669,46.642419,villa
24.729214,46.643143,villa
24.735699,46.645484,villa
24.728563,46.644465,villa
24.728958,46.644806,villa
24.729642,46.642663,other
24.731073,46.643725,villa
24.730546,46.641946,villa
24.730554,46.641496,villa
24.730951,46.642343,villa
24.730748,46.642145,villa
24.73115,46.642102,villa
24.730746,46.641705,villa
24.728585,46.642697,villa
24.734649,46.642244,villa
24.72819,46.642915,other
24.73651,46.643529,other
24.730122,46.644714,villa
24.732344,46.647472,other
24.730948,46.641904,villa
24.732924,46.647343,villa
24.733389,46.640882,villa
24.733596,46.64502,other
24.731845,46.646273,villa
24.733287,46.639889,other
24.732563,46.643017,villa
24.730342,46.645774,villa
24.732493,46.643668,villa
24.733838,46.643856,villa
24.734201,46.643668,villa
24.73554,46.644358,villa
24.730315,46.644999,villa
24.728451,46.64675,villa
24.736391,46.639975,villa
24.7348,46.644403,other
24.727223,46.645581,villa
24.730444,46.6463,villa
24.733484,46.64009,other
24.732909,46.644639,other
24.729842,46.643727,villa
24.729718,46.646536,villa
24.728361,46.646053,villa
24.729265,46.643604,villa
24.729297,46.644913,villa
24.735523,46.645018,villa
24.736454,46.644387,villa
24.731543,46.643542,villa
24.727564,46.645165,villa
24.728931,46.644012,villa
24.736232,46.645964,villa
24.729443,46.647381,villa
24.733216,46.645541,villa
24.726997,46.646959,villa
24.729974,46.645412,villa
24.736115,46.645693,villa
24.730083,46.643052,other
24.733204,46.644516,other
24.731721,46.643145,villa
24.727801,46.645396,villa
24.736115,46.640117,villa
24.729543,46.645423,villa
24.73576,46.645621,villa
24.73176,46.644047,villa
24.734135,46.644033,other
24.731129,46.643848,villa
24.728951,46.646144,villa
24.730524,46.640477,other
24.734186,46.645964,villa
24.729747,46.64171,villa
24.733384,46.642786,villa
24.728622,46.646544,villa
24.732724,46.645793,villa
24.729474,46.644178,villa
24.730471,46.645618,villa
24.72763,46.645605,villa
24.733916,46.64229,villa
24.73222,46.641193,other
24.73623,46.640383,villa
24.72955,46.645932,villa
24.734878,46.642775,villa
24.734763,46.642512,villa
24.73452,46.642638,villa
24.734288,46.642097,villa
24.729596,46.641893,villa
24.732627,46.647662,villa
24.730295,46.644495,villa
24.728,46.645975,villa
24.732897,46.645377,other
24.733104,46.645272,other
24.734576,46.644519,other
24.731004,46.647472,villa
24.734542,46.646796,villa
24.732671,46.643266,villa
24.731971,46.644545,villa
24.728695,46.643781,villa
24.734013,46.643226,villa
24.736054,46.640503,villa
24.73165,46.643794,villa
24.732259,46.644403,villa
24.729345,46.644334,villa
24.732186,46.646402,villa
24.734632,46.642904,villa
24.735935,46.643819,other
24.727657,46.643395,other
24.727389,46.643929,villa
24.728958,46.644224,other
24.730848,46.646383,villa
24.734442,46.644916,villa
24.733031,46.646501,villa
24.735967,46.643089,other
24.736227,46.642955,other
24.735575,46.642963,villa
24.735852,46.642821,villa
24.73613,46.642679,villa
24.736408,46.642537,villa
24.735689,46.643231,other
24.734676,46.643754,other
24.734032,46.642566,villa
24.736388,46.643591,other
24.731436,46.64329,villa
24.731526,46.642622,villa
24.729555,46.642582,other
24.730658,46.646659,villa
24.728717,46.644275,villa
24.732079,46.644798,villa
24.731937,46.64365,villa
24.7285,46.64321,villa
24.734415,46.646501,villa
24.727901,46.644752,villa
24.728324,46.644232,villa
24.735976,46.645439,other
24.736047,46.644087,villa
24.735618,46.640675,villa
24.728337,46.644739,villa
24.729128,46.644599,villa
24.735426,46.64409,other
24.730198,46.642252,villa
24.735175,46.644216,other
24.732395,46.640973,villa
24.730748,46.645798,villa
24.728522,46.64399,villa
24.732707,46.644167,villa
24.7326,46.643918,villa
24.735911,46.640171,villa
24.728237,46.646206,villa
24.73147,46.64701,other
24.731202,46.644028,villa
24.734912,46.644674,villa
24.73335,46.645146,other
24.728743,46.645584,villa
24.731309,46.644283,villa
24.731065,46.640871,villa
24.733869,46.640485,other
24.730554,46.646037,villa
24.729119,46.64594,villa
24.732169,46.642909,villa
24.731864,46.644296,villa
24.734853,46.64333,villa
24.735769,46.644889,villa
24.733516,46.646254,villa
24.733099,46.644269,villa
24.734688,46.64479,villa
24.730595,46.642805,villa
24.728802,46.64417,villa
24.733594,46.643982,villa
24.734303,46.646919,villa
24.733048,46.642706,villa
24.733294,46.642577,villa
24.733645,46.643395,villa
24.733397,46.643518,villa
24.733277,46.643237,villa
24.733158,46.642963,villa
24.733543,46.643159,villa
24.734015,46.644095,other
24.732712,46.641032,villa
24.733209,46.647802,villa
24.733302,46.647735,villa
24.733392,46.647882,villa
24.734283,46.64792,villa
24.733711,46.645291,villa
24.732186,46.645044,other
24.727462,46.645811,villa
24.730076,46.643955,villa
24.7308,46.647579,villa
24.72886,46.643577,villa
24.729099,46.643808,villa
24.72878,46.646351,villa
24.73567,46.64535,villa
24.733786,46.640938,villa
24.733465,46.645417,villa
24.734096,46.645664,villa
24.734432,46.64388,other
24.7343,46.646233,villa
24.729913,46.644972,villa
24.735406,46.644749,villa
24.73251,46.640836,villa
24.731297,46.641544,villa
24.732958,46.641536,villa
24.728517,46.64586,villa
24.728439,46.645956,villa
24.73338,46.645932,villa
