latitude,longitude,name,category
24.456704,46.751472,Apartment,Apartments
24.45902,46.753991,Apartment,Apartments
24.45943,46.754437,Apartment,Apartments
24.454727,46.749322,Apartment,Apartments
24.458579,46.753511,Apartment,Apartments
24.455239,46.749878,Apartment,Apartments
24.457523,46.752363,Apartment,Apartments
24.458067,46.752954,Apartment,Apartments
24.457114,46.751917,Apartment,Apartments
24.452561,46.753121,Apartment,Apartments
24.458446,46.755121,Apartment,Apartments
24.458605,46.757797,Apartment,Apartments
24.458908,46.759404,Apartment,Apartments
24.456119,46.755122,Apartment,Apartments
24.452193,46.751743,Apartment,Apartments
24.456281,46.754678,Apartment,Apartments
24.459305,46.758036,Apartment,Apartments
24.455767,46.752888,Apartment,Apartments
24.457759,46.757398,Apartment,Apartments
24.45712,46.75391,Apartment,Apartments
24.45564,46.753981,Apartment,Apartments
24.456176,46.753333,Apartment,Apartments
24.460025,46.757247,Apartment,Apartments
24.461081,46.75702,Apartment,Apartments
24.454836,46.753727,Apartment,Apartments
24.454933,46.752878,Apartment,Apartments
24.454984,46.754236,Apartment,Apartments
24.454777,46.751255,Apartment,Apartments
24.457739,46.754111,Apartment,Apartments
24.457802,46.758628,Apartment,Apartments
24.458066,46.754703,Apartment,Apartments
24.456809,46.757549,Apartment,Apartments
24.459214,46.759068,Apartment,Apartments
24.45338,46.751425,Apartment,Apartments
24.457494,46.755331,Apartment,Apartments
24.459435,46.75505,Apartment,Apartments
24.461304,46.756476,Apartment,Apartments
24.455924,46.751597,Apartment,Apartments
24.453036,46.753279,Apartment,Apartments
24.45687,46.756492,Apartment,Apartments
24.452139,46.752363,Apartment,Apartments
24.455043,46.750292,Apartment,Apartments
24.460059,46.758141,Apartment,Apartments
24.451912,46.752614,Apartment,Apartments
24.453963,46.752776,Apartment,Apartments
24.453868,46.749847,Apartment,Apartments
24.492946,46.729494,Apartment,Apartments
24.492437,46.730498,Apartment,Apartments
24.492938,46.731022,Apartment,Apartments
24.491629,46.721455,Apartment,Apartments
24.490291,46.735002,Apartment,Apartments
24.486616,46.730126,Apartment,Apartments
24.485608,46.73429,Apartment,Apartments
24.485808,46.725264,Apartment,Apartments
24.492516,46.72009,Apartment,Apartments
24.4926,46.712714,Apartment,Apartments
24.485864,46.721175,Apartment,Apartments
24.490878,46.710869,Apartment,Apartments
24.489191,46.718398,Apartment,Apartments
24.485548,46.720293,Apartment,Apartments
24.488881,46.711944,Apartment,Apartments
24.4828,46.717284,Apartment,Apartments
24.484779,46.718197,Apartment,Apartments
24.492495,46.717123,Apartment,Apartments
24.493137,46.725511,Apartment,Apartments
24.489943,46.71708,Apartment,Apartments
24.491744,46.730021,Apartment,Apartments
24.493672,46.735428,Apartment,Apartments
24.493097,46.734463,Apartment,Apartments
24.492857,46.715577,Apartment,Apartments
24.493474,46.721822,Apartment,Apartments
