Name,Type,Subtype,Latitude,Longitude,Arabic Name,Address,Phone,Website,Hours,Brand
Unnamed,leisure,swimming_pool,24.7938412,46.7522076,,,,,,
Unnamed,leisure,swimming_pool,24.7944421,46.7543404,,,,,,
Unnamed,leisure,swimming_pool,24.793243,46.7548376,,,,,,
Unnamed,leisure,swimming_pool,24.7924261,46.7535399,,,,,,
Unnamed,leisure,pitch,24.7917164,46.7497396,,,,,,
Unnamed,leisure,swimming_pool,24.7952285,46.7569145,,,,,,
Unnamed,leisure,park,24.7979782,46.7481483,,,,,,
Unnamed,leisure,playground,24.7862872,46.7599827,,,,,,
Unnamed,leisure,playground,24.7815506,46.7611421,,,,,,
Unnamed,leisure,playground,24.7812915,46.7615702,,,,,,
Unnamed,leisure,park,24.7086606,46.8064549,,,,,,
Unnamed,leisure,park,24.7102648,46.8120913,,,,,,
Unnamed,leisure,playground,24.7135237,46.8101985,,,,,,
Unnamed,leisure,park,24.7131085,46.8147415,,,,,,
Unnamed,leisure,park,24.70251,46.8084904,,,,,,
Unnamed,leisure,park,24.704074,46.8133617,,,,,,
Unnamed,leisure,park,24.6998262,46.8165798,,,,,,
Unnamed,leisure,swimming_pool,24.693132,46.8216983,,,,,,
Unnamed,leisure,swimming_pool,24.6922897,46.8207067,,,,,,
Unnamed,leisure,swimming_pool,24.6935907,46.82598,,,,,,
Unnamed,leisure,playground,24.6960707,46.8271592,,,,,,
Unnamed,leisure,playground,24.6970503,46.8291226,,,,,,
Unnamed,leisure,swimming_pool,24.6839678,46.8238285,,,,,,
Unnamed,leisure,playground,24.6815808,46.8271854,,,,,,
Unnamed,leisure,swimming_pool,24.6804217,46.826099,,,,,,
Unnamed,leisure,playground,24.6833058,46.8297614,,,,,,
Unnamed,leisure,swimming_pool,24.6861911,46.8387127,,,,,,
Unnamed,leisure,playground,24.6874793,46.8393872,,,,,,
Unnamed,leisure,swimming_pool,24.6854819,46.8365245,,,,,,
Unnamed,leisure,swimming_pool,24.6855009,46.8368799,,,,,,
Unnamed,leisure,swimming_pool,24.6855579,46.8375489,,,,,,
Unnamed,leisure,swimming_pool,24.6854059,46.8356464,,,,,,
Unnamed,leisure,swimming_pool,24.6851969,46.8357718,,,,,,
Unnamed,leisure,swimming_pool,24.6851589,46.8360924,,,,,,
Unnamed,leisure,swimming_pool,24.6852159,46.8373816,,,,,,
Unnamed,leisure,swimming_pool,24.6853299,46.8387197,,,,,,
Unnamed,leisure,swimming_pool,24.6853109,46.8394723,,,,,,
Unnamed,leisure,swimming_pool,24.6854249,46.8372562,,,,,,
Unnamed,leisure,swimming_pool,24.6851843,46.8370471,,,,,,
Unnamed,leisure,swimming_pool,24.6870206,46.8364896,,,,,,
Unnamed,leisure,swimming_pool,24.6878374,46.8376046,,,,,,
Unnamed,leisure,swimming_pool,24.6863522,46.8354341,,,,,,
Unnamed,leisure,swimming_pool,24.6878505,46.8374714,,,,,,
Unnamed,leisure,swimming_pool,24.6865172,46.8388532,,,,,,
Unnamed,leisure,swimming_pool,24.6864288,46.8391574,,,,,,
Unnamed,leisure,swimming_pool,24.6878597,46.837663,,,,,,
Unnamed,leisure,swimming_pool,24.6849272,46.8357064,,,,,,
Unnamed,leisure,swimming_pool,24.6870682,46.8421454,,,,,,
Unnamed,leisure,playground,24.6723664,46.8085898,,,,,,
Unnamed,leisure,playground,24.6772923,46.8118937,,,,,,
Unnamed,leisure,pitch,24.6561607,46.7963334,,,,,,
Unnamed,leisure,swimming_pool,24.7940716,46.7278134,,,,,,
Unnamed,leisure,swimming_pool,24.7940446,46.7276873,,,,,,
Unnamed,leisure,swimming_pool,24.7936779,46.7270646,,,,,,
Unnamed,leisure,swimming_pool,24.7931597,46.7264716,,,,,,
Unnamed,leisure,swimming_pool,24.7933885,46.726757,,,,,,
Unnamed,leisure,playground,24.7927222,46.7293664,,,,,,
Unnamed,leisure,playground,24.7912517,46.7287956,,,,,,
Unnamed,leisure,playground,24.7905018,46.7276511,,,,,,
Unnamed,leisure,swimming_pool,24.7931236,46.7309752,,,,,,
Unnamed,leisure,swimming_pool,24.78686,46.7111982,,,,,,
Unnamed,leisure,swimming_pool,24.7880266,46.7139271,,,,,,
Unnamed,leisure,swimming_pool,24.7870398,46.7144939,,,,,,
Unnamed,leisure,swimming_pool,24.6589752,46.6865151,,,,,,
Unnamed,leisure,pitch,24.7930621,46.8051216,,,,,,
Unnamed,leisure,bowling_alley,24.7931282,46.8054613,,,,,,
Unnamed,leisure,playground,24.5835561,46.7748904,,,,,,
Fitness Time وقت اللياقة,leisure,fitness_centre,24.7731545,46.7782302,,Ash Sheikh Hassan bin Hussein bin Ali,920003131,,Sa-Th 10:00-12:00; Fr 01:30-12:00,
وقت اللياقة,leisure,fitness_centre,24.783501,46.6837206,,Abi Bakr As Siddiq Rd,,,,
Fitness Time Plus,leisure,fitness_centre,24.7835495,46.6455686,,"Ath Thumamah Rd, Ar Rabi, Riyadh 13315",920003131,https://www.fitnesstime.com.sa/,24/7,
وقت اللياقة,leisure,fitness_centre,24.7827424,46.7048157,وقت اللياقة,"Uthman Ibn Affan Branch Rd, At Taawun, Riyadh 12478",,,,وقت اللياقة
Sports Hostel,leisure,fitness_centre,24.6481859,46.6479854,,,0114811779,,,
Archery Area,leisure,fitness_centre,24.6470822,46.6479422,,,,,,
اسطبل الحرابي,leisure,horse_riding,24.9257363,46.8366627,,,+966534643469,,,
بودي ماستر,leisure,fitness_centre,24.6767202,46.8107236,,,,,,
وقت اللياقة,leisure,fitness_centre,24.7278466,46.592574,وقت اللياقة,,,,,وقت اللياقة
Unnamed,leisure,playground,24.6865326,46.7034852,,,,,,
النادي اللياقي,leisure,fitness_centre,24.6139964,46.759347,النادي اللياقي,,,,,
مضمار الفروسيه,leisure,stadium,24.6969,46.8985798,مضمار الفروسيه,,,,,
Unnamed,leisure,park,24.5987433,46.6780648,,,,,,
Unnamed,leisure,pitch,24.529096,46.6365509,,,,,,
Unnamed,leisure,pitch,24.5041443,46.5043403,,,,,,
Unnamed,leisure,pitch,24.5040439,46.5055358,,,,,,
Unnamed,leisure,pitch,24.5043703,46.5064186,,,,,,
Unnamed,leisure,pitch,24.5804313,46.522054,,,,,,
Unnamed,leisure,pitch,24.5812123,46.5279571,,,,,,
Unnamed,leisure,pitch,24.7586184,46.5371802,,,,,,
Unnamed,leisure,swimming_pool,24.7607694,46.5403069,,,,,,
Unnamed,leisure,swimming_pool,24.7611955,46.5406134,,,,,,
Unnamed,leisure,swimming_pool,24.7890634,46.5342375,,,,,,
Unnamed,leisure,swimming_pool,24.7868491,46.5324177,,,,,,
Unnamed,leisure,swimming_pool,24.7892193,46.5266956,,,,,,
Unnamed,leisure,swimming_pool,24.8107937,46.5243889,,,,,,
Unnamed,leisure,playground,25.0044067,46.4924732,,,,,,
Unnamed,leisure,pitch,25.0029097,46.4974872,,,,,,
Unnamed,leisure,pitch,25.010195,46.4970869,,,,,,
Unnamed,leisure,pitch,25.0082126,46.50511,,,,,,
بودي ماستر,leisure,fitness_centre,24.5788196,46.6637228,,شارع سدير,,,,
مركز وقت الصحة و اللياقة الرياضي,leisure,fitness_centre,24.7183643,46.8441758,,,,,,
Fitness Zone,leisure,fitness_centre,24.692628,46.6055031,,,,https://www.fitnesszone-sa.com/english,Mo-Su 09:00-21:00,
Unnamed,leisure,swimming_pool,25.0211409,46.5595823,,,,,,
Unnamed,leisure,swimming_pool,24.9030843,46.6126847,,,,,,
Unnamed,leisure,pitch,24.4851425,46.5658697,,,,,,
Unnamed,leisure,pitch,24.4850072,46.5657847,,,,,,
Unnamed,leisure,pitch,24.5804402,46.5600762,,,,,,
Unnamed,leisure,swimming_pool,24.8727167,46.597664,,,,,,
Unnamed,leisure,swimming_pool,24.9507121,46.7914818,,,,,,
Unnamed,leisure,stadium,24.7423488,46.8703698,,,,,,
Unnamed,leisure,pitch,24.5471692,46.7248753,,,,,,
Unnamed,leisure,pitch,24.5461964,46.7168146,,,,,,
Unnamed,leisure,park,24.5471483,46.7176885,,,,,,
Unnamed,leisure,pitch,24.5521479,46.7134569,,,,,,
Unnamed,leisure,pitch,24.5370296,46.6971066,,,,,,
Unnamed,leisure,pitch,24.5496013,46.7026733,,,,,,
