Unnamed: 0.1,Unnamed: 0,location,clientindex,region_code,typeofplace,speedallowed,constantdevice,constantplace,geolatitude,geolongitude,geoformat,city_name_arabic,city_name_english,nic_code,Streat_Name_Arabic,Streat_Name_English,Direction,Province_arabic,Province_english,address09,Bus_Speed,Car_Speed,Truck_Speed,address13,address14,address15,ingestion_date,number_of_lanes
22,42938,RUHSM312,CL01,R1,CCTV,,,,25.02113333333333,46.613166666666665,,الرياض,Riyadh,1,طريق بنبان المطار,Banban Airport Rd,E,طريق بنبان المطار,Banban Airport Rd,,,,,,,80312.0,2025-01-27 11:20:48,3.0
23,42939,RUHSM336,CL01,R1,CCTV,,,,24.906816666666668,46.9778,,الرياض,Riyadh,1,طريق خريص,Khurais Rd,W,طريق خريص,Khurais Rd,,,,,,,80336.0,2024-12-08 14:06:33,3.0
24,42942,RUHSM381,CL01,R1,CCTV,,,,24.841366666666666,46.80618333333334,,الرياض,Riyadh,1,شارع وادي الساحل,Al Sahel Valley St,S,شارع وادي الساحل,Al Sahel Valley St,,,,,,,80381.0,2025-02-12 11:47:28,6.0
25,42947,RUHSM432,CL01,R1,CCTV,,,,24.890686,46.807975,,الرياض,Riyadh,1,طريق الثمامة,Ath Thumamah Rd,N,طريق الثمامة,Ath Thumamah Rd,,,,,,,,2025-02-12 11:47:28,3.0
26,42948,RUHSM456,CL01,R1,CCTV,,,,24.55193333333333,46.6119,,الرياض,Riyadh,1,طريق نجم الدين الايوبي الفرعي,Najm Al Din Al Ayoubi,W,طريق نجم الدين الايوبي الفرعي,Najm Al Din Al Ayoubi,,,,,,,,2025-02-12 11:47:28,3.0
27,42950,RUHSM531,CL01,R1,CCTV,,,,24.607167,46.659944,,الرياض,Riyadh,1,طريق معاوية بن ابي سفيان,Muawiyah Ibn Abi Sufyan Road,S,طريق معاوية بن ابي سفيان,Muawiyah Ibn Abi Sufyan Road,,,,,,,,2025-01-27 11:20:47,3.0
28,42951,RUHSM555,CL01,R1,CCTV,,,,24.871935,46.660699,,الرياض,Riyadh,1,طريق عثمان بن عفان,Uthman Ibn Affan Rd,N,طريق عثمان بن عفان,Uthman Ibn Affan Rd,,,,,,,,2025-02-12 11:47:27,4.0
29,42952,RUHTE315,CL01,R1,CCTV,,,,24.6132,46.82175,,الرياض,Riyadh,1,امتداد الطريق الدائري الشرقي,Eastern Ring Rd Ext,S,امتداد الطريق الدائري الشرقي,Eastern Ring Rd Ext,,,,,,,84315.0,2024-12-08 14:06:33,3.0
30,42953,RUHTE337,CL01,R1,CCTV,,,,24.905416666666667,46.57405,,الرياض,Riyadh,1,طريق الملك فهد,King Fahd Rd,S,طريق الملك فهد,King Fahd Rd,,,,,,,84337.0,2024-12-08 14:06:33,3.0
31,45960,RUHSM015,CL01,R1,CCTV,,,,24.543866666666663,46.872483333333335,,الرياض,Riyadh,1,طريق الخرج القديم باتجاه الجنوب,Al Kharj Rd,S,,,,,,,,,80015.0,2024-12-08 14:06:28,5.0
32,45961,RUHSM019,CL01,R1,CCTV,,,,24.817966666666667,46.6187,,الرياض,Riyadh,1,طريق الملك فهد بإتجاه الجنوب,King Fahad Road South,S,طريق الملك فهد بإتجاه الجنوب,King Fahad Road South,24\24,,,,,,80019.0,2025-02-12 11:47:27,4.0
33,45962,RUHSM027,CL01,R1,CCTV,,,,24.67558333333333,46.65351666666667,,الرياض,Riyadh,1,طريق خريص تقاطع طريق الملك خالد,Khurais Road Cross King Khalied ,E,شارع خريص(طريق مكة لمكرمة) مع الملك خالد,Khurais Road Cross King Khalied ,,,,,,,80027.0,2025-01-27 11:20:42,3.0
34,45964,RUHSM032,CL01,R1,CCTV,,,,24.712066666666665,46.672,,الرياض,Riyadh,1,طريق الملك فهد,King Fahad Rd,S,طريق الملك فهد,King Fahad Rd,24\24,,,,,,80032.0,2025-01-27 11:20:45,4.0
35,45966,RUHSM059,CL01,R1,CCTV,,,,24.832016666666668,46.848333333333336,,الرياض,Riyadh,1,طريق الجنادرية,Al Janadriyah Rd,S,طريق الجنادرية,Al Janadriyah Rd,,,,,,,80059.0,2024-12-08 14:06:30,4.0
36,45968,RUHSM073,CL01,R1,CCTV,,,,24.687016666666665,46.631366666666665,,الرياض,Riyadh,1,شارع عمرو الضميري (السفارات),Amr Aldamri St(Al Safarat),W,شارع عمرو الضميري (السفارات),Amr Aldamri St(Al Safarat),,,,,,,80073.0,2025-02-12 11:47:27,3.0
37,45969,RUHSM102,CL01,R1,CCTV,,,,24.73506666666667,46.68201666666667,,الرياض,Riyadh,1,طريق الملك عبدالله,King Abdullah Rd,E,طريق الملك عبدالله,King Abdullah Rd,,,,,,,80102.0,2024-12-08 14:06:27,4.0
38,45970,RUHSM114,CL01,R1,CCTV,,,,24.54758333333333,46.71945,,الرياض,Riyadh,1,طريق عرفات,Arafat Rd,W,طريق عرفات,Arafat Rd,,80.0,80.0,80.0,,,80114.0,2025-01-27 11:20:42,5.0
39,45976,RUHSM153,CL01,R1,CCTV,,,,24.685783333333333,46.65213333333333,,الرياض,Riyadh,1,طريق ام الحمام ,Umm Al Hamam Rd,N,طريق ام الحمام ,Umm Al Hamam Rd,,,,,,,80153.0,2024-12-08 14:06:27,4.0
40,45977,RUHSM164,CL01,R1,CCTV,,,,24.57985,46.55166666666667,,الرياض,Riyadh,1,شارع بلال بن رباح,Bilal Ibn Rabah Rd,E,شارع بلال بن رباح,Bilal Ibn Rabah Rd,,,,,,,80164.0,2025-01-27 11:20:43,4.0
41,45979,RUHSM173,CL01,R1,CCTV,,,,24.79443333333333,46.6561,,الرياض,Riyadh,1,طريق الملك عبدالعزيز,King Abdulaziz Road,N,طريق الملك عبدالعزيز,King Abdulaziz Road,,,,,,,80173.0,2024-12-08 14:06:30,6.0
42,45981,RUHSM187,CL01,R1,CCTV,,,,24.642766666666667,46.73551666666667,,الرياض,Riyadh,1,طريق الخرج,Al Kharj Road,N,طريق الخرج,Al Kharj Road,,,,,,,80187.0,2024-12-08 14:06:30,4.0
43,45982,RUHSM190,CL01,R1,CCTV,,,,24.63275,46.56561666666666,,الرياض,Riyadh,1,طريق الشفاء,Al Shafa Rd,W,طريق الشفاء,Al Shafa Rd,,,,,,,80190.0,2025-01-27 11:20:42,3.0
44,45984,RUHSM195,CL01,R1,CCTV,,,,24.72971666666667,46.86443333333333,,الرياض,Riyadh,1,طريق الدائري الثاني,Second Ring Road,S,طريق الدائري الثاني,Second Ring Road,,,,,,,80195.0,2025-02-12 11:47:27,5.0
45,45985,RUHSM208,CL01,R1,CCTV,,,,24.82345,46.72873333333333,,الرياض,Riyadh,1,طريق سعيد بن زيد,Said Ibn Zayd Road,N,طريق سعيد بن زيد,Said Ibn Zayd Road,,,,,,,80208.0,2024-12-08 14:06:29,3.0
46,45986,RUHSM217,CL01,R1,CCTV,,,,24.5873,46.588683333333336,,الرياض,Riyadh,1,طريق خديجه بنت خويلد,Khadijah bint khuwailid Rd,E,طريق خديجه بنت خويلد,Khadijah bint khuwailid Rd,,,,,,,80217.0,2024-12-08 14:06:29,4.0
47,45988,RUHSM234,CL01,R1,CCTV,,,,24.54788333333333,46.6873,,الرياض,Riyadh,1,طريق الخليل بن أحمد,Al khalil Ibn Ahmad,W,طريق الخليل بن أحمد,Al khalil Ibn Ahmad,,,,,,,80234.0,2025-01-27 11:20:42,3.0
48,45990,RUHSM245,CL01,R1,CCTV,,,,24.59263333333333,46.5813,,الرياض,Riyadh,1,طريق أسماء بنت أبي بكر,Asma Bint Abi Bakr,S,طريق أسماء بنت أبي بكر,Asma Bint Abi Bakr,,,,,,,80245.0,2025-02-12 11:47:27,4.0
49,45991,RUHSM248,CL01,R1,CCTV,,,,24.559183333333333,46.5683,,الرياض,Riyadh,1,"شارع أحمد بن الخطاب, ظهرة نمار",Ahmad Ibn Alkhatab street,S,"شارع أحمد بن الخطاب, ظهرة نمار",Ahmad Ibn Alkhatab street,,,,,,,80248.0,2025-02-12 11:47:27,4.0
50,45992,RUHSM254,CL01,R1,CCTV,,,,24.6013,46.69815,,الرياض,Riyadh,1,شارع السويدي العام,Al Suwaidi  Al Am St,E,شارع السويدي العام,Al Suwaidi  Al Am St,,,,,,,80254.0,2024-12-08 14:06:27,4.0
51,45993,RUHSM271,CL01,R1,CCTV,,,,24.765716666666663,46.7542,,الرياض,Riyadh,1,طريق المللك عبدالله,King Abdullah Road,E,طريق المللك عبدالله,King Abdullah Road,,,,,,,80271.0,2025-02-12 11:47:27,3.0
52,45994,RUHSM279,CL01,R1,CCTV,,,,24.676033333333333,46.8503,,الرياض,Riyadh,1,شارع شبه الجزيرة,Shibh Al Jazirah Rd,S,شارع شبه الجزيرة,Shibh Al Jazirah Rd,,,,,,,80279.0,2025-01-27 11:20:42,5.0
53,45995,RUHSM281,CL01,R1,CCTV,,,,24.817916666666665,46.802733333333336,,الرياض,Riyadh,1,شارع الشيخ جابر الأحمد القادسيه,Sheikh Jaber Al-Ahmad Al-Sabah Street,S,شارع الشيخ جابر الأحمد القادسيه,Sheikh Jaber Al-Ahmad Al-Sabah Street,,,,,,,80281.0,2025-02-12 11:47:28,3.0
54,46000,RUHSM308,CL01,R1,CCTV,,,,24.622566666666668,46.5494,,الرياض,Riyadh,1,طريق نجد,Najd Road,W,طريق نجد,Najd Road,,80.0,80.0,80.0,,,80308.0,2024-12-08 14:06:33,4.0
55,46004,RUHSM359,CL01,R1,CCTV,,,,24.755316666666666,46.64991666666667,,الرياض,Riyadh,1,طريق الملك فهد,King Fahd Rd,N,طريق الملك فهد,King Fahd Rd,24\24,,,,,,80359.0,2025-02-12 11:47:28,5.0
56,46008,RUHSM429,CL01,R1,CCTV,,,,24.819433333333333,46.75195,,الرياض,Riyadh,1,عبد الرحمن الناصر,Abd Al Rahman Al Naser,S,عبد الرحمن الناصر,Abd Al Rahman Al Naser,,,,,,,,2025-01-27 11:20:50,3.0
57,46015,RUHSM547,CL01,R1,CCTV,,,,24.790639,46.854116,,الرياض,Riyadh,1,طريق السلطان قابوس بن سعيد,Sultan Qabus Ibn Saeed Rd,E,طريق السلطان قابوس بن سعيد,Sultan Qabus Ibn Saeed Rd,,,,,,,,2025-02-12 11:47:27,3.0
58,46016,RUHSM559,CL01,R1,CCTV,,,,24.544083,46.880639,,الرياض,Riyadh,1,شارع محمد ابي نقطة,Street Muhammad Abi Naqta,E,شارع محمد ابي نقطة,Street Muhammad Abi Naqta,,,,,,,,2025-02-12 11:47:27,2.0
59,46017,RUHTE304,CL01,R1,CCTV,,,,24.584,46.75318333333333,,الرياض,Riyadh,1,طريق النصر,An Nasr Rd,W,طريق النصر,An Nasr Rd,,,,,,,84304.0,2025-02-12 11:47:28,5.0
60,59984,RUHSM033,CL01,R1,CCTV,,,,24.789716666666667,46.71585,,الرياض,Riyadh,1,الدائري الشمالي,North Ring Rd,E,,,,,,,,,80033.0,2025-01-27 11:20:45,5.0
61,59985,RUHSM045,CL01,R1,CCTV,,,,24.6262,46.78358333333333,,الرياض,Riyadh,1,طريق الدائري الجنوبي,South Ring Road,W,,,,,,,,,80045.0,2025-01-27 11:20:44,5.0
62,59986,RUHSM052,CL01,R1,CCTV,,,,24.724316666666667,46.665866666666666,,الرياض,Riyadh,1,طريق  الملك فهد,King Fahad Rd,N,طريق  الملك فهد,King Fahad Rd,24\24,,,,,,80052.0,2025-02-12 11:47:27,4.0
