object_id,parcel_id,parcel_name,mainlanduse_code,mainlanduse_name,subtype_code,subtype_name,detailslanduse,is_apartment,parcel_type,residential_units,commercial_units,floors,area_sqm,district_id,street_name,postal_code,is_built,is_licensed,building_status,latitude,longitude
32449264,14388685,,100000,سكني (Residential),101000,سكني فردي (Single Residential/Villa),101011,False,غير شقق (Non-Apartment),1,0,2,300.05184434,00100001181,,,,,,24.7177665574,46.675210890799995
32449265,14388701,,100000,سكني (Residential),101000,سكني فردي (Single Residential/Villa),101011,False,غير شقق (Non-Apartment),,,,287.86663187,00100001125,,,,,,24.78635825055556,46.6641550038889
32449266,14388734,,100000,سكني (Residential),101000,سكني فردي (Single Residential/Villa),101011,False,غير شقق (Non-Apartment),2,0,2,535.06782094,00100001148,,,,,,24.833429768200006,46.6391049062
32449267,14388735,,100000,سكني (Residential),101000,سكني فردي (Single Residential/Villa),101011,True,شقق (Apartment),3,0,2,550.10105645,00100001148,,,,,,24.83325179233334,46.639213560333324
32449268,14388736,,100000,سكني (Residential),101000,سكني فردي (Single Residential/Villa),101011,False,غير شقق (Non-Apartment),,,,274.99645184,00100001148,,,,,,24.833118090799996,46.6389546434
32449269,14396920,,100000,سكني (Residential),101000,سكني فردي (Single Residential/Villa),101011,False,غير شقق (Non-Apartment),2,0,2,370.74770722,00100001032,,,,,,24.744824257799998,46.6663419078
32449270,14396922,,100000,سكني (Residential),101000,سكني فردي (Single Residential/Villa),101011,False,غير شقق (Non-Apartment),2,0,2,720.15326716,00100001032,,,,,,24.744198168399997,46.66660654679998
32449271,14396924,,100000,سكني (Residential),101000,سكني فردي (Single Residential/Villa),101011,False,غير شقق (Non-Apartment),2,0,2,578.54523585,00100001032,,,,,,24.745105838200004,46.666199375600016
32449272,14396926,,100000,سكني (Residential),101000,سكني فردي (Single Residential/Villa),101011,False,غير شقق (Non-Apartment),2,0,2,578.40103215,00100001032,,,,,,24.7450149196,46.665984007000006
32449273,14449197,مدرسة,5555,غير محدد (Undefined),301000,تعليمي (Educational),5555,False,غير شقق (Non-Apartment),1,0,2,10500.80512606,00100001097,,,,,,24.78456278560001,46.697204106200005
32449274,14417625,,1000000,سكني متعدد الوحدات (Multi-Unit Residential/Apartments),1001000,عمارة سكنية (Apartment Building),1001001,True,شقق (Apartment),10,2,2,805.12529613,00100001054,,,,,,24.78221825483335,46.70645863249999
32449275,14419247,,100000,سكني (Residential),101000,سكني فردي (Single Residential/Villa),101011,False,غير شقق (Non-Apartment),2,0,2,572.02001852,00100001097,,,,,,24.78970409466667,46.69537712866665
32449276,14419252,,100000,سكني (Residential),101000,سكني فردي (Single Residential/Villa),101011,False,غير شقق (Non-Apartment),2,0,2,885.69911231,00100001097,,,,,,24.789289743,46.69549346600001
32449277,14417723,,100000,سكني (Residential),101000,سكني فردي (Single Residential/Villa),101011,False,غير شقق (Non-Apartment),,,,420.10142282,00100001148,,,,,,24.825648292199993,46.63644667039999
32449278,14417735,,100000,سكني (Residential),101000,سكني فردي (Single Residential/Villa),101011,False,غير شقق (Non-Apartment),1,0,1,810.1003237,00100001148,,,,,,24.825473564800006,46.636031666600005
32449281,14388686,,100000,سكني (Residential),101000,سكني فردي (Single Residential/Villa),101011,False,غير شقق (Non-Apartment),,,,600.10368868,00100001181,,,,,,24.718083290799996,46.675018670800014
32449282,14388702,,100000,سكني (Residential),101000,سكني فردي (Single Residential/Villa),101011,False,غير شقق (Non-Apartment),,,,282.78345152,00100001125,,,,,,24.786243089714283,46.66395359042857
32449283,14388705,,100000,سكني (Residential),101000,سكني فردي (Single Residential/Villa),101011,True,شقق (Apartment),4,0,2,227.55343524,00100001125,,,,,,24.786475738800004,46.664289881000016
32449284,14388724,,100000,سكني (Residential),101000,سكني فردي (Single Residential/Villa),101011,False,غير شقق (Non-Apartment),2,0,2,275.06855369,00100001148,,,,,,24.833151333599982,46.63903371599999
32449285,14388733,,100000,سكني (Residential),101000,سكني فردي (Single Residential/Villa),101011,False,غير شقق (Non-Apartment),2,0,2,549.99290367,00100001148,,,,,,24.833348021400003,46.6389104598
