name,lat,lon,address,category,types,rating
بقالة العارض الجديد,24.51425219999999,46.73252429999999,"GP7M+P22, Riyadh",Restaurants,"grocery_or_supermarket,food,point_of_interest,store,establishment",5
تموينات امل,24.5139916,46.74178999999999,"GP7R+HPV, Riyadh",Restaurants,"grocery_or_supermarket,food,point_of_interest,store,establishment",3.6
اسواق ومخابز بستان العائلة - 5,24.5119978,46.730883,"ال ريس, Riyadh",Restaurants,"supermarket,grocery_or_supermarket,store,food,point_of_interest,establishment",3.7
اسواق العثيم | Othaim markets,24.524137,46.74148399999999,"GPFR+MH5, Riyadh",Restaurants,"supermarket,grocery_or_supermarket,store,food,point_of_interest,establishment",3.8
أسواق ومخابز روز المشاعل المركزية,24.5136998,46.7264322,"6567 Al Imam Muslim, RLBA2558، 2558, Riyadh",Restaurants,"supermarket,grocery_or_supermarket,store,food,point_of_interest,establishment",4.5
اسواق هايبر مخابز ومطاحن وخضار,24.5135536,46.7262211,"RLBA2558، 2558 الامام مسلم، 6567، حي بدر،, Riyadh",Restaurants,"supermarket,grocery_or_supermarket,store,food,point_of_interest,establishment",4.1
أسواق ومخابز سدرة الوادي,24.5136082,46.72591469999999,"Al Imam Muslim, Riyadh",Restaurants,"supermarket,grocery_or_supermarket,store,food,point_of_interest,establishment",3.7
تموينات القرنى,24.5219554,46.72559849999999,"طارق بن زياد, GPCG+P6V, Riyadh",Restaurants,"supermarket,grocery_or_supermarket,store,food,point_of_interest,establishment",3
روز مارت,24.5186211,46.7231563,"2218 طارق بن زياد, RLBB7115، 7115, Riyadh",Restaurants,"supermarket,grocery_or_supermarket,store,food,point_of_interest,establishment",3.4
تنوينات ريان,24.5155587,46.7224504,"Al Imam Muslim, GP8C+6XG, Riyadh",Restaurants,"supermarket,grocery_or_supermarket,store,food,point_of_interest,establishment",
أسواق ومخابز بركات الديره,24.5023066,46.7413541,"4620-4680 شارع الإمام مسلم الفرعي, Riyadh",Restaurants,"supermarket,grocery_or_supermarket,store,food,point_of_interest,establishment",4
اسواق روز المشاعل المركزيه,24.5012104,46.7422245,"محطه بترولي, Al Imam Muslim, Riyadh",Restaurants,"supermarket,grocery_or_supermarket,store,food,point_of_interest,establishment",4.1
Shifa Al Nova Supermarket,24.5314574,46.7321635,"7179 Al Imam Malik Road, Riyadh",Restaurants,"supermarket,grocery_or_supermarket,store,food,point_of_interest,establishment",
مصنع الفا للبلاستيك,24.5286368,46.7203043,"RLDD7717، 7717 جبل المضابيع، 3617, Riyadh",Restaurants,"supermarket,grocery_or_supermarket,store,food,point_of_interest,establishment",
معمل محمد الهوشاني للبلاستيك - Howshani Plastic,24.5336121,46.7191386,"8260 Al Itidal, Riyadh",Restaurants,"supermarket,grocery_or_supermarket,store,food,point_of_interest,establishment",3.5
التلال,24.5407561,46.72922789999999,"RLDE7382، 7382 رقم 72، 3333, Riyadh",Restaurants,"supermarket,grocery_or_supermarket,store,food,point_of_interest,establishment",
Markets and bakeries anwar almodon,24.54058790000001,46.7254713,"7367 Al Itidal, Riyadh",Restaurants,"supermarket,grocery_or_supermarket,store,food,point_of_interest,establishment",4.1
Dina Hyper Riyadh,24.5327056,46.718961,"street, الاعتدال, 8167 RLDA, 144, الرياض",Restaurants,"supermarket,grocery_or_supermarket,store,food,point_of_interest,establishment",
فرص استثمارية,24.517978,46.7357265,"RLBA7039، 7039 ريس، 3512, Riyadh",Shopping Malls,"shopping_mall,point_of_interest,establishment",
ابو مبارك لبيع الفحم الامريكي الطبيعي,24.5061759,46.7368916,"شارع الإمام مسلم الفرعي, Riyadh",Shopping Malls,"shopping_mall,point_of_interest,establishment",5
نبراس التوفير كل شي خمسة ريال,24.5137061,46.7260126,"شارع الإمام مسلم الفرعي, GP7G+FCJ, Riyadh",Shopping Malls,"shopping_mall,point_of_interest,establishment",4.3
متجر إلكتروني معطرات جملة الجملة,24.5155587,46.7224504,"Al Imam Muslim, Riyadh",Shopping Malls,"shopping_mall,point_of_interest,establishment",
asif verities store,24.5279202,46.7237407,"GPHF+5F9, Riyadh",Shopping Malls,"shopping_mall,point_of_interest,establishment",5
Ripon super market,24.5340836,46.7276311,"8317 Al Imam Malik Road, 4360, Riyadh",Shopping Malls,"shopping_mall,point_of_interest,establishment",3
مصنع رجوه,24.5267517,46.71801120000001,"GPG9+P62, Unnamed Road, بدر،, Riyadh",Shopping Malls,"shopping_mall,point_of_interest,establishment",4
مستودع الاثاث,24.53127869999999,46.7215883,"3761 جبل اثال, 8010, Riyadh",Shopping Malls,"shopping_mall,point_of_interest,establishment",4
مصنع ازميل للصناعات الخشبيه,24.534108,46.72386530000001,"7823 حرمله بن هوذه, Riyadh",Shopping Malls,"shopping_mall,point_of_interest,establishment",2.5
فرحات ستار,24.5289505,46.71771450000001,"GPH9+H3P, Unnamed Road, الرياض",Shopping Malls,"shopping_mall,point_of_interest,establishment",4
El Wissam Palace For Furniture,24.5322298,46.7200255,"GPJC+V2R, Riyadh",Shopping Malls,"shopping_mall,point_of_interest,establishment",3.3
Tasnim Fashion House,24.5257878,46.71258270000001,"RLDC7390، 7390 الإعتدال، 2837, الرياض",Shopping Malls,"shopping_mall,point_of_interest,establishment",
ورشة رحاب للرخام والجرنايت,24.5363373,46.7192386,"Al Itidal, GPP9+GMQ, Riyadh",Shopping Malls,"shopping_mall,point_of_interest,establishment",4.4
بقالة وقت وناسه للحلويات والمواد الغذائية المخفضة والمستوردة,24.5392772,46.7242179,"2852 Al Itidal, RLDC7211، 7211, Riyadh",Restaurants,"shopping_mall,grocery_or_supermarket,store,food,point_of_interest,establishment",4
Rubel.haddat,24.5276966,46.7113443,"GPH6+3GH, صناعية الشفا،, الرياض",Shopping Malls,"shopping_mall,point_of_interest,establishment",4.2
rubel ahmed wakshop,24.5276716,46.71132350000001,"7573 جرش, 2712, الرياض",Shopping Malls,"shopping_mall,point_of_interest,establishment",4
Sohag,24.5408488,46.7257348,"2983 الاعتدال, 7389, الرياض",Shopping Malls,"shopping_mall,point_of_interest,establishment",3
