lat,lon,external_id,title,price,area,floors,apartments,purpose,rent_frequency,location
24.557604800926,46.751151099509,87790176,"Building for rent in Al-Masane (3), Riyadh",1200000.0,1500.0,,,for-rent,yearly,KSA > Riyadh > South Riyadh > Al Masani
24.762076064728,46.820805861056,87831060,"Residential Building For Rent in Al Nahdah, Riyadh",850000.0,1000.0,,,for-rent,yearly,KSA > Riyadh > East Riyadh > Al Nahdah
24.873590275364,46.870992248768,87830652,"Residential Building For Rent in Al Bayan Neighborhood, Riyadh",430000.0,750.0,,,for-rent,yearly,KSA > Riyadh > East Riyadh > Al Bayan Neighborhood
24.607841617978,46.625270532682,87786542,"Apartment for rent in Al Uraij, Riyadh",27500.0,400.0,,,for-rent,yearly,KSA > Riyadh > West Riyadh > Al Uraija Al Wusta
24.778010496358,46.637736482763,87825939,Fully furnished office building for rent,4000000.0,1319.0,,,for-rent,yearly,KSA > Riyadh > North Riyadh > Al Aqiq
24.740037345065,46.691740210884,87829711,"Building for rent on King Abdullah Ibn Abdulaziz Saud Street, Al-Mursalat District, Riyadh City, Riyadh Region",1242000.0,1581.0,,,for-rent,yearly,KSA > Riyadh > North Riyadh > Al Mursalat
24.503180448503,46.91456667422,87799772,Residential building for rent - Riyadh Industrial Gate,420000.0,587.0,,,for-rent,yearly,KSA > Riyadh > South Riyadh > Al Misfat
24.774753788534,46.623405104958,87828853,"Residential Building For Rent in Al Aqiq, Riyadh",35000.0,30.0,,,for-rent,yearly,KSA > Riyadh > North Riyadh > Al Aqiq
24.828678227104,46.592430924427,87823318,"3 Bedroom Residential Building For Rent in Al Qirawan, Riyadh",1500000.0,900.0,,,for-rent,yearly,KSA > Riyadh > North Riyadh > Al Qirawan
24.764489253783,46.589246723324,87692185,Residential Building in North Riyadh，Hittin 3000000 SAR - 87692185,3000000.0,1712.0,,,for-rent,yearly,KSA > Riyadh > North Riyadh > Hittin
24.687500961688,46.639024751544,87816047,"Residential Building For Rent in Umm Al Hamam Al Gharbi, Riyadh",300000.0,500.0,,,for-rent,yearly,KSA > Riyadh > West Riyadh > Umm Al Hamam Al Gharbi
24.868744340786,46.836900875445,87814537,"Residential Building For Rent in Al Rimal, Riyadh",550000.0,1234.0,,,for-rent,yearly,KSA > Riyadh > East Riyadh > Al Rimal
24.868662050965,46.836976856426,87724780,"Residential Building For Rent in Al Rimal, Riyadh",700000.0,1234.0,,,for-rent,yearly,KSA > Riyadh > East Riyadh > Al Rimal
24.573444605642,46.598769851796,87684304,"Residential Building for Rent in Alawali, West Riyadh",28000.0,900.0,,,for-rent,yearly,KSA > Riyadh > West Riyadh > Alawali
24.627277650851,46.545501896496,87801424,"Residential Building For Rent in Dhahrat Laban, Riyadh",370000.0,900.0,,,for-rent,yearly,KSA > Riyadh > West Riyadh > Dhahrat Laban
24.774773113593,46.623249941872,87799183,"Residential Building For Rent in Al Aqiq, Riyadh",48000.0,50.0,,,for-rent,yearly,KSA > Riyadh > North Riyadh > Al Aqiq
24.771174010271,46.690078927268,87791918,"Building for rent in its entirety, Al-Taaawon neighborhood",900000.0,750.0,,,for-rent,yearly,KSA > Riyadh > North Riyadh > Al Taawun
24.110024334227,47.277496692089,87759989,Residential Building in Mishrif 12000 SAR - 87759989,12000.0,660.0,,,for-rent,yearly,KSA > Al Kharj Riyadh Region > Mishrif
24.105789403371,47.287676176242,87756351,"Residential Building for rent in Mishrif, Al Kharj Riyadh Region",200000.0,600.0,,,for-rent,yearly,KSA > Al Kharj Riyadh Region > Mishrif
24.109339663776,47.285396688555,87772071,"Building For Rent in Mishrif, Al Kharj",13000.0,1376.0,,,for-rent,yearly,KSA > Al Kharj Riyadh Region > Mishrif
24.868645008348,46.836995978633,87784704,Building for rent entirely on Prince's Road,500000.0,1234.0,,,for-rent,yearly,KSA > Riyadh > East Riyadh > Al Rimal
24.649705967913,46.839134436835,87729780,Administrative offices and halls for rent,40000.0,1000.0,,,for-rent,yearly,KSA > Riyadh > East Riyadh > Al Sulay
24.849569400955,46.881089227823,87724913,"Building For Rent in Al Janadriyah, Riyadh",30000.0,1356.0,,,for-rent,yearly,KSA > Riyadh > East Riyadh > Al Janadriyah
24.753514595195,46.773818116883,87692544,Apartment for rent in King Faisal neighborhood - East Riyadh,30000.0,896.0,,,for-rent,yearly,KSA > Riyadh > East Riyadh > King Faisal
24.562832476563,46.706508509991,87636594,"Staff and Company Accommodation for Rent in Al-Shifa District, Riyadh City",160000.0,875.0,,,for-rent,yearly,KSA > Riyadh > South Riyadh > Al Shifa
24.587285690455,46.589207577598,87605565,"Building for Rent in Al Uraija Al Gharbiyah, West Riyadh",90000.0,400.0,,,for-rent,yearly,KSA > Riyadh > West Riyadh > Al Uraija Al Gharbiyah
24.682462385147,46.742655617525,87683856,"Building for rent in Jarir, Central Riyadh",2870000.0,2188.0,,,for-rent,yearly,KSA > Riyadh > Central Riyadh > Jarir
24.603206919545,46.685011022662,87674654,"Building for Rent in Sultanah, West Riyadh",35000.0,262.0,,,for-rent,yearly,KSA > Riyadh > West Riyadh > Sultanah
24.731046451422,46.770610469676,87631333,"Building For Rent in Al Rawdah, East Riyadh",65000.0,119.0,,,for-rent,yearly,KSA > Riyadh > East Riyadh > Al Rawdah
24.554985069938,46.759660263227,87825524,"Buildings for rent in Al-Masaneh area (4), Riyadh",1200000.0,1292.0,,,for-rent,yearly,KSA > Riyadh > South Riyadh > Al Masani
24.835054455519,46.680509347274,87828195,Apartment in Al Narjis neighborhood,50000.0,1050.0,,,for-rent,yearly,KSA > Riyadh > North Riyadh > Al Narjis
24.838543737834,46.769154440274,87826442,"Residential Building For Rent in Al Munsiyah, Riyadh",25000.0,960.0,,,for-rent,yearly,KSA > Riyadh > East Riyadh > Al Munsiyah
24.608475177777,46.709902351656,87823757,"Residential Building For Rent in Utaiqah, Riyadh",85000.0,113.0,,,for-rent,yearly,KSA > Riyadh > Central Riyadh > Utaiqah
24.838543737834,46.769154440274,87823168,"Residential Building For Rent in Al Munsiyah, Riyadh",25000.0,960.0,,,for-rent,yearly,KSA > Riyadh > East Riyadh > Al Munsiyah
24.687874664085,46.719906173958,87825495,"New Building for Rent in Al Dhubbat, Central Riyadh",65000.0,600.0,,,for-rent,yearly,KSA > Riyadh > Central Riyadh > Al Dhubbat
24.690217029089,46.721830417816,87822541,"Residential Building For Rent in Al Dhubbat, Riyadh",34000.0,4000.0,,,for-rent,yearly,KSA > Riyadh > Central Riyadh > Al Dhubbat
24.555111140861,46.532353875545,87748270,"Residential building for rent in Tuwaiq, west Riyadh",150000.0,600.0,,,for-rent,yearly,KSA > Riyadh > West Riyadh > Tuwaiq
24.786671317819,46.65920416117,87816329,"Office building for rent in Al Rabi, North Riyadh",3000000.0,5395.0,,,for-rent,yearly,KSA > Riyadh > North Riyadh > Al Rabi
24.593072811445,46.552386853614,87789070,Residential Building in West Riyadh，Tuwaiq 3 bedrooms 320000 SAR - 87789070,320000.0,625.0,,,for-rent,yearly,KSA > Riyadh > West Riyadh > Tuwaiq
24.831092319935,46.779083085961,87612403,"Building for rent in Al Munsiyah, east Riyadh",3500.0,600.0,,,for-rent,monthly,KSA > Riyadh > East Riyadh > Al Munsiyah
24.760107391087,46.7493937176,87747623,"Residential Building for rent in Al Quds, East Riyadh",50000.0,450.0,,,for-rent,yearly,KSA > Riyadh > East Riyadh > Al Quds
24.573444605642,46.598769851796,87683500,"Building for Rent in Alawali, West Riyadh",2800.0,900.0,,,for-rent,monthly,KSA > Riyadh > West Riyadh > Alawali
24.713341469223,46.692513865645,87800663,"Residential Building For Rent in Al Sulimaniyah, Riyadh",70000.0,680.0,,,for-rent,monthly,KSA > Riyadh > North Riyadh > Al Sulimaniyah
24.659049643031,46.72706290576,87694092,"Residential Building For Rent in Al Malaz, Riyadh",43000.0,3597.0,,,for-rent,yearly,KSA > Riyadh > Central Riyadh > Al Malaz
24.773314957598,46.608610857005,87756463,"Residential Building For Rent in Hittin, Riyadh",2300000.0,950.0,,,for-rent,yearly,KSA > Riyadh > North Riyadh > Hittin
24.761477464782,46.798960649346,87784363,A modern building with high specifications - ready for full rental.,1700000.0,2000.0,,,for-rent,yearly,KSA > Riyadh > East Riyadh > Al Nahdah
24.739234965659,46.643821411261,87740464,Apartments for Full Rent in Al Muhammadiyah,600000.0,1062.0,,,for-rent,yearly,KSA > Riyadh > North Riyadh > Al Mohammadiyah
24.566864316602,46.763251823024,87778362,"Residential Building For Rent in Al Aziziyah, Riyadh",250000.0,444.0,,,for-rent,yearly,KSA > Riyadh > South Riyadh > Al Aziziyah
24.780616952131,46.636223621021,87775750,"Residential Building For Rent in Al Aqiq, North Riyadh",1000000.0,650.0,,,for-rent,yearly,KSA > Riyadh > North Riyadh > Al Aqiq
24.804581344334,46.839170370979,87709924,"Full Building for Rent – Al Mu’aizilah District, Riyadh",1300000.0,2000.0,,,for-rent,yearly,KSA > Riyadh > East Riyadh > Al Maizilah
24.926908780024,46.79529965529,87755544,10 Apartments for Rent Together – Ideal for Companies & Investors,400000.0,1607.0,,,for-rent,yearly,KSA > Riyadh > East Riyadh > Al Rimal
24.813214297097,46.68945673098,87753176,Hotel building for rent entirely in a very excellent location,8000000.0,900.0,,,for-rent,yearly,KSA > Riyadh > North Riyadh > Al Nada
24.613525707166,46.506570173213,87686761,"42 Room Building For Rent in Dhahrat Laban, Riyadh",650000.0,625.0,,,for-rent,yearly,KSA > Riyadh > West Riyadh > Dhahrat Laban
24.693059993766,46.847265820453,87673468,"Building For Rent in Al Saadah, East Riyadh",500000.0,650.0,,,for-rent,yearly,KSA > Riyadh > East Riyadh > Al Saadah
24.910540015166,46.615226453382,87675500,"Building for rent on Al-Harith bin Salil Street, Al-Arid neighborhood, Riyadh city, Riyadh region",2000000.0,116.0,,,for-rent,yearly,KSA > Riyadh > North Riyadh > Al Arid
24.614969650175,46.517213280377,87622632,"Residential Building For Rent in Dhahrat Laban, West Riyadh",35000.0,900.0,,,for-rent,yearly,KSA > Riyadh > West Riyadh > Dhahrat Laban
24.757997474543,46.826896363576,87609327,"Residential Building for rent in Al Nahdah, East Riyadh",27000.0,928.0,,,for-rent,yearly,KSA > Riyadh > East Riyadh > Al Nahdah
24.624161411742,46.849513414035,87638616,"Companies housing Riyadh Al-Sulay district, Safa Street",30000.0,1416.0,,,for-rent,yearly,KSA > Riyadh > East Riyadh > Al Sulay
24.566791220422,46.548554310606,87676230,"Building for Rent in Tuwaiq, West Riyadh",2500.0,900.0,,,for-rent,monthly,KSA > Riyadh > West Riyadh > Tuwaiq
24.667114941557,46.696413856582,87691539,"Building For Rent in Al Namudhajiyah, Riyadh",4000.0,792.0,,,for-rent,monthly,KSA > Riyadh > Central Riyadh > Al Namudhajiyah
24.557078105002,46.687703204736,87611076, شقق عوائل للإيجار في حي الشفا,25000.0,100.0,,,for-rent,monthly,KSA > Riyadh > South Riyadh > Al Shifa
24.716811805047,46.693107924561,87614690,"Building for rent in Al Sulimaniyah, North Riyadh",800000.0,700.0,,,for-rent,yearly,KSA > Riyadh > North Riyadh > Al Sulimaniyah
24.735684223997,46.603444595811,87611330,"Building for rent in Al Nakhil, North Riyadh",60000.0,773.0,,,for-rent,yearly,KSA > Riyadh > North Riyadh > Al Nakhil
24.746094535355,46.82765367227,87795481,"Residential Building For Rent in Al Nasim Al Sharqi, Riyadh",300000.0,440.0,,,for-rent,yearly,KSA > Riyadh > East Riyadh > Al Nasim Al Sharqi
24.778889960314,46.652705284296,87767661,Residential Building in North Riyadh，Al Ghadir 3 bedrooms 75000 SAR - 87767661,75000.0,176.0,,,for-rent,yearly,KSA > Riyadh > North Riyadh > Al Ghadir
24.783423458667,46.632848404948,87774475,"Residential Building For Rent in Al Aqiq, Riyadh",45000.0,70.0,,,for-rent,yearly,KSA > Riyadh > North Riyadh > Al Aqiq
24.783423458667,46.632848404948,87773527,"Residential Building For Rent in Al Aqiq, Riyadh",45000.0,70.0,,,for-rent,yearly,KSA > Riyadh > North Riyadh > Al Aqiq
24.748599195285,46.635502195335,87780710,Residential Building in North Riyadh，Al Nakhil 1100000 SAR - 87780710,1100000.0,649.0,,,for-rent,yearly,KSA > Riyadh > North Riyadh > Al Nakhil
24.619747104749,46.693955641759,87717094,"Building For Rent in Al Jaradiyah, Riyadh",16000.0,212.0,,,for-rent,yearly,KSA > Riyadh > West Riyadh > Al Jaradiyah
24.892330926327,46.615781801796,87675359,Residential Building in North Riyadh，Al Arid 3 bedrooms 52000 SAR - 87675359,52000.0,130.0,,,for-rent,yearly,KSA > Riyadh > North Riyadh > Al Arid
24.651430203572,46.581233673667,87623898,"Building for rent in Dhahrat Laban, West Riyadh",800000.0,900.0,,,for-rent,yearly,KSA > Riyadh > West Riyadh > Dhahrat Laban
24.58989595027,46.637268242027,87698356,"Residential Building For Rent in Dhahrat Al Badiah, Riyadh",30000.0,1500.0,,,for-rent,yearly,KSA > Riyadh > West Riyadh > Dhahrat Al Badiah
24.842049862481,46.821772695059,87816793,"Residential Building For Rent in Al Rimal, Riyadh",320000.0,1600.0,,,for-rent,yearly,KSA > Riyadh > East Riyadh > Al Rimal
24.92032322561,46.777084443623,87814781,"Residential Building For Rent in Al Rimal, Riyadh",1771200.0,3000.0,,,for-rent,yearly,KSA > Riyadh > East Riyadh > Al Rimal
24.766718399223,46.77259493601,87699982,"Building for rent on Karachi Street, King Faisal Neighborhood, Riyadh City",37200.0,700.0,,,for-rent,yearly,KSA > Riyadh > East Riyadh > King Faisal
24.866311947591,46.837927109089,87810953,"Residential Building For Rent in Al Rimal, Riyadh",200000.0,1500.0,,,for-rent,yearly,KSA > Riyadh > East Riyadh > Al Rimal
24.538084779779,46.708957913295,87745119,"Residential Building For Rent in Badr, Riyadh",27000.0,600.0,,,for-rent,yearly,KSA > Riyadh > South Riyadh > Badr
24.592153394616,46.701574518237,87750032,"Residential Building For Rent in Al Duraihimiyah, Riyadh",2200.0,700.0,,,for-rent,yearly,KSA > Riyadh > West Riyadh > Al Duraihimiyah
24.872216908734,46.821263517766,87790958,"Residential Building For Rent in Al Rimal, Riyadh",600000.0,2500.0,,,for-rent,yearly,KSA > Riyadh > East Riyadh > Al Rimal
24.904618170495,46.786163543334,87791005,"Residential Building For Rent in Al Rimal, Riyadh",1555000.0,3000.0,,,for-rent,yearly,KSA > Riyadh > East Riyadh > Al Rimal
24.904618170495,46.786163543334,87765973,"Residential Building For Rent in Al Rimal, Riyadh",1344000.0,3000.0,,,for-rent,yearly,KSA > Riyadh > East Riyadh > Al Rimal
24.773314957598,46.608610857005,87744502,"Building For Rent in Hittin, Riyadh",2300000.0,950.0,,,for-rent,yearly,KSA > Riyadh > North Riyadh > Hittin
24.55619245797,46.759052570733,87743829,"Building For Rent in Al Masani, Riyadh",1419600.0,1500.0,,,for-rent,yearly,KSA > Riyadh > South Riyadh > Al Masani
24.55619245797,46.759052570733,87710003,"Residential Building For Rent in Al Masani, Riyadh",1419600.0,1500.0,,,for-rent,yearly,KSA > Riyadh > South Riyadh > Al Masani
24.883502407134,46.84301996023,87668322,Building for rent fully in al ramal neighborhood - hajer 50 project,500000.0,127.0,,,for-rent,yearly,KSA > Riyadh > East Riyadh > Al Rimal
24.892557608988,46.621084659273,87625168,"Residential building for sale in Al Arid, north Riyadh",1150000.0,783.0,,,for-rent,yearly,KSA > Riyadh > North Riyadh > Al Arid
24.780616952131,46.636223621021,87775602,"Residential Building For Rent in Al Aqiq, Riyadh",1000000.0,650.0,,,for-rent,yearly,KSA > Riyadh > North Riyadh > Al Aqiq
24.611534989791,46.713205581755,87793299,"For rent: a building in Riyadh, Al-Manfoukhah Al-Jadidah neighborhood – Listing number 1357",170000.0,239.0,,,for-rent,yearly,KSA > Riyadh > Central Riyadh > Manfouhah Al Jadidah
24.724906915203,46.761548990917,87786617,"Residential Building For Rent in Al Rawdah, Riyadh",900000.0,1050.0,,,for-rent,yearly,KSA > Riyadh > East Riyadh > Al Rawdah
24.634258324706,46.609655742057,87784547,"Residential Building For Rent in Laban, Riyadh",325000.0,400.0,,,for-rent,yearly,KSA > Riyadh > West Riyadh > Laban
24.562055630119,46.544587994025,87752675,"Residential Building For Rent in Tuwaiq, Riyadh",45000.0,900.0,,,for-rent,yearly,KSA > Riyadh > West Riyadh > Tuwaiq
24.868790899175,46.64318379805,87754780,For Rent | 6 Fully Furnished Units – Al Narjis,325000.0,220.0,,,for-rent,yearly,KSA > Riyadh > North Riyadh > Al Narjis
24.860906271843,46.848486460511,87753173,Fully furnished hotel building for rent,3000000.0,2607.0,,,for-rent,yearly,KSA > Riyadh > East Riyadh > Al Rimal
24.730593464072,46.853970562251,87752467,"Residential Building For Rent in Al Nasim Al Sharqi, Riyadh",24000.0,600.0,,,for-rent,yearly,KSA > Riyadh > East Riyadh > Al Nasim Al Sharqi
24.773314957598,46.608610857005,87686781,"Building for rent on Al Tahlia Street, Al Hittin District, Riyadh City",2300000.0,950.0,,,for-rent,yearly,KSA > Riyadh > North Riyadh > Hittin
