district_en,district_ar,villas,apartments_landuse,apartments_listed,total_residential,villa_percentage,apartment_percentage
Al Muruj Dist.,حي المروج,2374,929,58,3303,71.87,28.13
Al Manakh Dist.,حي المناخ,2823,376,87,3199,88.25,11.75
Al Nada Dist.,حي الندى,2939,244,61,3183,92.33,7.67
Al Taawun Dist.,حي التعاون,2422,734,50,3156,76.74,23.26
Al Safa Dist.,حي الصفا,2994,140,19,3134,95.53,4.47
Al Manar Dist.,حي المنار,2013,991,41,3004,67.01,32.99
West Umm Al Hamam Dist.,حي ام الحمام الغربي,2736,253,83,2989,91.54,8.46
Al Rayah Dist.,حي الراية,2836,0,1,2836,100.0,0.0
Al Falah Dist.,حي الفلاح,2404,354,94,2758,87.16,12.84
Ohod Dist.,حي احد,2390,319,48,2709,88.22,11.78
Al Ezdihar Dist.,حي الازدهار,1972,701,36,2673,73.77,26.23
Al Nuzha Dist.,حي النزهة,1988,653,77,2641,75.27,24.73
Al Wahah Dist.,حي الواحة,2450,180,20,2630,93.16,6.84
Al Muhammadiyah Dist.,حي المحمدية,2084,447,55,2531,82.34,17.66
Jareer Dist.,حي جرير,2175,354,49,2529,86.0,14.0
Al Zahour Dist.,حي الزهور,2439,0,0,2439,100.0,0.0
Al Wizarat Dist.,حي الوزارات,1591,760,73,2351,67.67,32.33
Al Ghadeer Dist.,حي الغدير,2060,263,35,2323,88.68,11.32
King Abdullah Dist.,حي الملك عبدالله,2206,107,16,2313,95.37,4.63
Al Shohda Dist.,حي الشهداء,1645,610,100,2255,72.95,27.05
Sultanah Dist.,حي سلطانة,1970,271,20,2241,87.91,12.09
Al Yamamah Dist.,حي اليمامة,1950,283,33,2233,87.33,12.67
Al Khalidiyah Dist.,حي الخالدية,1702,526,120,2228,76.39,23.61
East Umm Al Hamam Dist.,حي ام الحمام الشرقي,2085,113,53,2198,94.86,5.14
Ghirnatah Dist.,حي غرناطة,1518,564,56,2082,72.91,27.09
Al Farooq Dist.,حي الفاروق,1979,73,23,2052,96.44,3.56
Al Mursalat Dist.,حي المرسلات,1535,421,47,1956,78.48,21.52
Manfuhah Dist.,حي منفوحة,1824,127,83,1951,93.49,6.51
Al Iskan Dist.,حي الاسكان,1912,17,49,1929,99.12,0.88
Ar Rafiah Dist.,حي الرفيعة,1833,87,47,1920,95.47,4.53
Al Fursan Dist.,حي الفرسان,1886,0,2,1886,100.0,0.0
Al Faisaliyah Dist.,حي الفيصلية,1471,406,53,1877,78.37,21.63
Al Murabba Dist.,حي المربع,1285,553,104,1838,69.91,30.09
Al Risalah Dist.,حي الرسالة,1833,0,1,1833,100.0,0.0
Ar Rahmaniyah Dist.,حي الرحمانية,1542,232,49,1774,86.92,13.08
Ghobairah Dist.,حي غبيرة,1513,246,80,1759,86.01,13.99
2nd Industrial City,المدينة الصناعية الثانية,1151,566,90,1717,67.04,32.96
Al Oud Dist.,حي العود,1569,136,13,1705,92.02,7.98
North Mathar Dist.,حي المعذر الشمالي,1539,157,30,1696,90.74,9.26
