trip_id,pickup_time,dropoff_time,distance_km,car_model,start_lat,start_lon,end_lat,end_lon,num_segments
1291154,2016-07-19 05:30:39,2016-07-19 05:45:41,19.37000084,Camry,24.7875700168608,46.7472935021867,24.659239330471202,46.7958082896999,106
1201212,2016-02-08 05:23:04,2016-02-08 06:08:40,45.37,santafe,24.6244529254493,46.7557709447955,24.963477440187997,46.700140171986,484
1078353,2015-08-19 05:18:06,2015-08-19 05:54:42,22.93,Innova,24.7564676915906,46.7222209386515,24.6795378495968,46.8035358231534,568
1079001,2015-08-20 05:39:06,2015-08-20 05:59:16,18.43,Camry,24.764616425583,46.81378297996039,24.6795378495968,46.8035358231534,263
1283451,2016-06-22 05:51:55,2016-06-22 06:06:11,17.79999924,Fortuner,24.7731292000041,46.714050758567495,24.659239330471202,46.7958082896999,113
1179336a,2016-01-06 05:57:56,2016-01-06 06:09:46,8.49012017598061,Yukon,24.7212927901339,46.8286883896564,24.6847082145001,46.7801499550296,109
1260597,2016-05-08 05:11:35,2016-05-08 05:37:24,15.89000034,Tahoe,24.7262977035452,46.837108641313705,24.6971582452812,46.734312764597504,167
1023856,2015-05-28 05:09:50,2015-05-28 06:03:24,32.28,Taurus,24.7237323571023,46.8329707188993,24.7121418575159,46.76792562559589,242
1262395,2016-05-11 05:35:20,2016-05-11 06:03:04,15.75,Elentra,24.7262977035452,46.837108641313705,24.6971582452812,46.734312764597504,165
1261802,2016-05-10 05:28:53,2016-05-10 06:04:44,16.47999954,Fortuner,24.7237323571023,46.8329707188993,24.6971582452812,46.734312764597504,194
1265100,2016-05-16 05:17:28,2016-05-16 05:41:29,12.06999969,Elantra,24.7324813657418,46.7132806314492,24.676983104597998,46.6805409790171,134
1076357,2015-08-16 05:44:19,2015-08-16 06:55:25,36.84,Ford Taurus,24.680237509317898,46.678975127675294,24.8521047471164,46.732421240551204,484
1107390,2015-09-29 05:03:48,2015-09-29 05:23:10,14.74,Fortuner,24.7609015665633,46.7519345542772,24.714013304303798,46.681932995375995,211
1123491,2015-10-21 05:10:05,2015-10-21 05:51:02,11.8,Innova,24.640304796153004,46.693838977001704,24.7180781353504,46.676327416464304,311
1273674,2016-06-01 05:36:41,2016-06-01 06:03:20,17.81999969,Ford Turus,24.7920528782473,46.726472856292496,24.712784507452604,46.67898765644979,119
1315290,2016-09-20 05:25:20,2016-09-20 06:35:51,42.06999969,2015,24.5745721067602,46.656217584906905,24.743277316176,46.643155386919496,480
1100124a,2015-09-17 05:29:54,2015-09-17 07:03:14,27.794764641392156,Expedition,24.7609343362257,46.829617591933406,24.737125001979198,46.698155519538794,389
1177466,2016-01-03 05:37:31,2016-01-03 06:12:43,8.52,Azeera,24.694456518976803,46.715248783747796,24.716665064415498,46.673096618646795,172
1115933,2015-10-11 05:36:01,2015-10-11 06:14:07,13.29,Elantra ,24.766049817219702,46.762543904798,24.7135631623067,46.6743512345366,309
1202622,2016-02-10 05:48:15,2016-02-10 06:27:49,19.25,Fortuner,24.6963574370994,46.7873654759562,24.7196558643715,46.6712782611885,408
1127105,2015-10-26 05:14:56,2015-10-26 05:37:35,5.6,Innova,24.7166878755088,46.6853735484811,24.681989809521998,46.6859646567732,177
1253523,2016-04-27 05:51:28,2016-04-27 07:00:32,22.45999908,MG ,24.7380020158174,46.7002385868547,24.662112762790198,46.700564677325296,403
1138319,2015-11-10 05:22:05,2015-11-10 06:01:41,14.46,GMC 2016,24.6563467261817,46.764089043069895,24.7142670670785,46.678220501400006,356
1184526,2016-01-13 05:04:06,2016-01-13 05:53:22,11.31,Fortuner,24.741852088435103,46.6600335423067,24.7011117531592,46.6848797185332,1105
1164005,2015-12-13 05:56:27,2015-12-13 06:50:18,26.67,Fortuner,24.655700498909603,46.798605981901396,24.696152835645105,46.67315731904739,800
1266058,2016-05-18 05:37:41,2016-05-18 06:11:35,50.36000061,Cmary,24.943217717045197,46.47262681501229,24.850287379219104,46.719005756232,147
1240394,2016-04-07 05:48:27,2016-04-07 05:54:03,5.550000191,Innova,24.811951323442003,46.5909968733631,24.841000350858998,46.6392185225751,57
1019834,2015-05-21 05:37:24,2015-05-21 06:05:52,37.73,Suburban,24.6763010437618,46.623325591511794,24.8558188514135,46.67444080128939,290
1257243,2016-05-03 05:05:47,2016-05-03 05:43:50,60.86999893,Camry,24.943217717045197,46.47262681501229,24.844608739143702,46.694049841626104,187
1289627,2016-07-14 05:30:39,2016-07-14 06:01:37,47.06000137,Sonata 2016,24.6972592899742,46.6051265667356,24.963477440187997,46.700140171986,194
1104405,2015-09-23 05:38:59,2015-09-23 06:14:11,50.05,expadition,24.640279430543604,46.535201504681794,24.963477440187997,46.700140171986,418
1034489,2015-06-11 05:23:36,2015-06-11 06:01:49,9.63,Ford Taurus,24.703139333643698,46.6414509141211,24.693370982698003,46.6636969577026,58
1289398,2016-07-13 05:55:35,2016-07-13 06:47:19,43.18999863,Elantra,24.7859365178195,46.69761032966021,24.778266365805802,46.6896451406095,671
1051691,2015-07-08 05:46:00,2015-07-08 06:03:29,20.92,Fortuner,24.740946620426396,46.6488150994546,24.8498003891725,46.71679707624829,181
1245111,2016-04-14 05:28:42,2016-04-14 06:05:35,15.56000042,Innova,24.8268758679382,46.630846933985794,24.8498003891725,46.71679707624829,265
1243819,2016-04-12 05:51:59,2016-04-12 06:08:49,14.89000034,Tahoe,24.797411111701397,46.645982912607,24.8498003891725,46.71679707624829,145
1117342,2015-10-13 05:01:24,2015-10-13 05:20:01,15.98,Accrode,24.8268758679382,46.630846933985794,24.8674941619763,46.70347915757999,126
