Name,Subtype,Latitude,Longitude
Unnamed,greengrocer,24.650129,46.709359
ساحل جدة,seafood,24.650851,46.709274
اسماك الوشم,seafood,24.650948,46.709253
Unnamed,information,24.651491,46.706741
سهل,yes,24.65185,46.706062
ثمار الرحمانية,butcher,24.639505,46.708348
نظارات المدينة,optician,24.638268,46.710219
دواجن,butcher,24.64053,46.708349
Unnamed,laundry,24.640602,46.708351
Unnamed,gift,24.639634,46.708348
Unnamed,hairdresser,24.640659,46.708352
الحناكي للمكسرات,confectionery,24.638475,46.710182
ايس كريم,confectionery,24.639556,46.708348
K.K.I.A Camp,hostel,24.920227,46.683699
Unnamed,shelter,24.819229,46.771131
Unnamed,fountain,24.625758,46.68042
قاعة درة المملكة للاحتفالات,artwork,24.810654,46.806322
Unnamed,department_store,24.7672,46.715796
Unnamed,optician,24.768598,46.716086
Unnamed,beauty,24.767974,46.716011
Unnamed,beauty,24.7666,46.715335
Unnamed,beauty,24.766966,46.715947
Unnamed,weighbridge,24.625516,46.861919
قاعة البابطين,theatre,24.797726,46.63156
قصر مارينا للاحتفالات,confectionery,24.535096,46.649242
Unnamed,telephone,24.58428,46.691132
Unnamed,tyres,24.572217,46.778854
محلات الاتصالات,mobile_phone,24.585379,46.778515
وكالة عمر الراشد للدعاية والإعلان,copyshop,24.761175,46.797135
Unnamed,shelter,24.590503,46.709041
مركز خدمات موبايلي,telecommunication,24.646178,46.707148
مركز خدمات زين,telecommunication,24.646232,46.707141
شركة زهرة الأندلس للعقارات,fountain,24.646973,46.706965
Shekshack Juice,beverages,24.814654,46.79841
Shekshack Juice,beverages,24.778252,46.792138
مغاسل الجبر,laundry,24.806996,46.792513
نيو بوي,gift,24.665375,46.699815
شقق مفروشة,apartment,24.804595,46.793746
محل اتصالات,telecommunication,24.804856,46.793633
azmi home in askan Riyadh,bookmaker,24.573035,46.842411
sep,artwork,24.554991,46.873028
شركة رال العالمية,fountain,24.75322,46.744408
al remal,artwork,24.83354,46.811398
work,artwork,24.692965,46.695757
سوق اللحمة,butcher,24.629747,46.718597
Al Bayan Holding,artwork,24.815448,46.769817
Unnamed,artwork,24.829558,46.794407
granada Village,courthouse,24.790052,46.754395
Unnamed,bench,24.604549,46.712535
tabu nasim,confectionery,24.716475,46.834259
dunkin doughnuts,confectionery,24.648902,46.55681
Unnamed,artwork,24.879608,46.831983
