place_id,name,lat,lng,types
ChIJxfeZGwAFLz4Rklh6G4rkLsU,La room,24.6442741,46.72535389999999,"lodging,point_of_interest,establishment"
ChIJ78haJgAFLz4ROn8_ZkZ4Tfg,Rail Batha South,24.6427723,46.7233051,"lodging,point_of_interest,establishment"
ChIJdcEWOugFLz4RuaUqII-wmwo,سكن عزاب,24.6449815,46.7191479,"lodging,point_of_interest,establishment"
ChIJBWEJaQAFLz4Rb2oCw7imkSo,ابو قايد لزينه وشاشات السيارات,24.6476127,46.71910450000001,"rv_park,lodging,point_of_interest,establishment"
ChIJW0AagrIFLz4RxEUI-mx9wxs,City Center Hotel,24.6435559,46.7189116,"lodging,point_of_interest,establishment"
ChIJYRgpGQAFLz4RhiqOTL2duu8,مؤسسة منار الرياض / العوبثاني / كهربائي ممتاز / الغرابي,24.6433128,46.7191052,"lodging,point_of_interest,establishment"
ChIJ_4dUrLYFLz4RaNPiKs5Nhsg,Asemah Hotel,24.64176750000001,46.72117919999999,"lodging,point_of_interest,establishment"
ChIJxeiAXAAFLz4R0fKuXxPGjqI,WATAN HOTEL,24.6416288,46.7207906,"lodging,point_of_interest,establishment"
ChIJwfXM0iMFLz4Rxe4mp-1h_vI,ابو كيان لتركيب الخيام,24.6421812,46.7193265,"campground,park,lodging,point_of_interest,store,establishment"
ChIJiwPupwQFLz4RLaR5cf1A534,فندق نيظار,24.64217249999999,46.7186479,"lodging,point_of_interest,establishment"
ChIJ04RYc60FLz4R_ogaVdBFjmg,"Hotle Alslam2 ,Manila",24.6430757,46.7178204,"lodging,point_of_interest,establishment"
ChIJI-Lnna0FLz4RTHJ8gFEj1ZM,Al Darah Hòtel,24.6428413,46.7179727,"lodging,point_of_interest,establishment"
ChIJzQiIUAAFLz4Rmbw35Z9FdGs,5 bilding,24.643954,46.7171801,"lodging,point_of_interest,establishment"
ChIJi0GzTwAFLz4R_WdqFSKWBoc,",",24.6450648,46.7286536,"lodging,point_of_interest,establishment"
ChIJ-ZCTAgAFLz4Rv0WP_JJD15Y,Home,24.6457407,46.72890679999999,"lodging,point_of_interest,establishment"
ChIJ8_rgPAAFLz4R-dyo14E0Uj0,بيت,24.6443389,46.7166491,"lodging,point_of_interest,establishment"
ChIJIwFG3IQFLz4Rnb8SpLIj6ro,AL-BATHA HOTEL,24.64381930000001,46.71682149999999,"lodging,point_of_interest,establishment"
ChIJLWX2LgAFLz4RcVkQVCG-tyg,فندق قصر الحمراء - مترو المتحف الوطني,24.64603779999999,46.716314,"lodging,point_of_interest,establishment"
ChIJn7PRMgAFLz4RfRxMRAWiHIw,ابهل,24.6459285,46.72930239999999,"lodging,point_of_interest,establishment"
