place_id,name,lat,lon,address,types,rating
ChIJKaRmyMoRLz4R2WZbiNupP5I,Domino's Pizza دومينوز بيتزا,24.545333,46.653531,"St, 4022 Al Mashtal, Riyadh","meal_delivery,meal_takeaway,restaurant,food,point_of_interest,establishment",4
ChIJyXFEBV4QLz4RXJ1FZhT1_Xk,KFC,24.5582222,46.6362541,"Nagm alden street cross southern round road, الرياض","restaurant,food,point_of_interest,establishment",3.7
ChIJ75V6210QLz4ROYapljhYp3s,McDonald’s,24.557901,46.63720299999999,"Western Ring Road, Riyadh","restaurant,food,point_of_interest,establishment",3.3
ChIJ51WS8aAaLz4Rn2QTz0q3wJI,Khafif,24.5587846,46.6373493,4419 الطريق الدائري الغربي الفرعي، ظهرة نمار، Salaam Mall، الرياض 14924,"restaurant,food,point_of_interest,store,establishment",3.5
ChIJ4eKu_l0QLz4RxcIOGkuXFBo,Hardee's,24.5589375,46.6370625,"HJ5P+HR, ال سليم ال سليم، PLAZA, Riyadh","restaurant,food,point_of_interest,establishment",4.2
ChIJi9brEFT-Lj4RtOEV-yaVxoA,Subway,24.5649575,46.5757437,"Dist, 7482 Abdulrahman Aldaakhil St, Tamimi Tuwaiq Branch, الرياض","restaurant,food,point_of_interest,establishment",3.9
ChIJ6RCfggkELz4RTkwM40AaKz4,McDonald's,24.570255,46.69138399999999,Riyadh,"restaurant,point_of_interest,food,establishment",3.8
ChIJ7c8TslUOLz4Rt_Yznw-LJwc,Al Romansiah Restaurant,24.5622023,46.70700439999999,"3143 Al Tourmouzi, 6063, Riyadh","restaurant,point_of_interest,food,establishment",4.3
ChIJ5TuGQGwOLz4RKUqwsLsGfFw,Shawarmer | شاورمر,24.5351064,46.6933874,"Al Shifa Plaza, Riyadh","meal_takeaway,restaurant,point_of_interest,food,establishment",4.1
ChIJuQ4jWUEOLz4RirZ85j88sJM,KFC,24.5456045,46.6945168,"Sitteen Street Shefa, Riyadh","restaurant,point_of_interest,food,establishment",3.5
ChIJMzrnWEcOLz4Rd8CCw6aqthU,فلافل ميدان الشام,24.5455915,46.689965,"3978 Al Khaleel Bin Ahmad, Riyadh","restaurant,point_of_interest,food,establishment",3.9
